,GeneName,up1.5,up2,up5,up10,dn1.5,dn2,dn5,dn10,all,unchange1.5,unchange2,unchange5,unchange10,HN1.5,HN2,HN5,HN10
4511,Defb42,42,39,26,14,27,22,5,3,242,173,181,211,225,15,17,21,11
10195,Krtap1-5,43,41,25,10,18,17,5,1,242,181,184,212,231,25,24,20,9
16772,S100a9,47,42,29,19,32,27,9,7,242,163,173,204,216,15,15,20,12
8999,Ifitm10,71,55,24,15,52,36,4,0,242,119,151,214,227,19,19,20,15
4744,Dnajb4,97,74,24,8,25,14,4,2,242,120,154,214,232,72,60,20,6
4247,Cys1,86,65,23,9,39,21,3,2,242,117,156,216,231,47,44,20,7
16688,Rsrp1,93,64,22,6,25,12,2,1,242,124,166,218,235,68,52,20,5
20119,Trib3,105,77,23,5,41,22,3,0,242,96,143,216,237,64,55,20,5
915,Ahsa2,113,78,22,7,17,8,2,0,242,112,156,218,235,96,70,20,7
17182,Serpinh1,128,94,22,7,23,10,3,0,242,91,138,217,235,105,84,19,7
3408,Cldn11,68,55,23,6,40,18,4,2,242,134,169,215,234,28,37,19,4
1490,Arl9,83,69,39,14,41,37,20,10,242,118,136,183,218,42,32,19,4
11713,Mt1,69,58,23,9,38,15,4,2,242,135,169,215,231,31,43,19,7
10845,Maff,96,75,22,12,17,9,3,0,242,129,158,217,230,79,66,19,12
10171,Krt6a,37,32,23,15,20,14,4,0,242,185,196,215,227,17,18,19,15
2708,Ccl11,66,48,22,8,35,29,3,1,242,141,165,217,233,31,19,19,7
4459,Defa24,23,23,21,17,3,2,2,0,242,216,217,219,225,20,21,19,17
9610,Ism2,71,54,19,11,35,23,0,0,242,136,165,223,231,36,31,19,11
12521,Nr4a3,98,71,24,6,35,18,5,1,242,109,153,213,235,63,53,19,5
3903,Crybb3,75,56,24,10,37,27,5,1,242,130,159,213,231,38,29,19,9
3431,Cldn4,71,52,25,12,37,16,6,3,242,134,174,211,227,34,36,19,9
17979,Snap25,51,42,19,5,29,16,1,1,242,162,184,222,236,22,26,18,4
10915,Mansc1,54,39,22,12,61,33,4,1,242,127,170,216,229,-7,6,18,11
14073,Oxt,70,61,35,15,37,29,17,5,242,135,152,190,222,33,32,18,10
20517,Ubc,102,79,18,8,19,6,0,0,242,121,157,224,234,83,73,18,8
8105,Gpr75,73,52,18,5,25,13,0,0,242,144,177,224,237,48,39,18,5
10424,Lgals7,85,69,29,13,51,34,11,2,242,106,139,202,227,34,35,18,11
16296,Rhox8,92,75,31,12,63,52,13,8,242,87,115,198,222,29,23,18,4
2881,Cd79a,79,62,22,4,44,34,4,2,242,119,146,216,236,35,28,18,2
16765,S100a3,71,62,29,6,40,28,11,4,242,131,152,202,232,31,34,18,2
16637,Rrad,101,72,25,9,34,24,7,2,242,107,146,210,231,67,48,18,7
2701,Ccer2,71,60,23,3,31,19,5,0,242,140,163,214,239,40,41,18,3
9817,Kcnj14,105,76,22,6,31,19,4,1,242,106,147,216,235,74,57,18,5
11429,Mndal,94,71,25,7,53,41,7,2,242,95,130,210,233,41,30,18,5
823,Adora2a,85,67,20,5,34,21,3,1,242,123,154,219,236,51,46,17,4
16782,Saa1,45,43,29,14,37,26,12,6,242,160,173,201,222,8,17,17,8
14081,P2rx7,62,43,21,9,53,35,4,0,242,127,164,217,233,9,8,17,9
6015,Fgf17,81,60,20,9,33,25,3,0,242,128,157,219,233,48,35,17,9
9728,Junb,111,80,22,5,36,20,5,2,242,95,142,215,235,75,60,17,3
11788,Muc13,63,35,18,8,28,12,1,0,242,151,195,223,234,35,23,17,8
9088,Ighg2b,59,44,20,8,16,11,3,2,242,167,187,219,232,43,33,17,6
3897,Cryab,116,84,19,7,24,17,2,1,242,102,141,221,234,92,67,17,6
18068,Socs3,96,76,23,8,45,28,6,1,242,101,138,213,233,51,48,17,7
1482,Arl5c,84,65,22,10,38,24,5,2,242,120,153,215,230,46,41,17,8
10364,Lcn2,64,51,25,13,40,26,8,2,242,138,165,209,227,24,25,17,11
7228,Gm21976,41,37,22,9,50,36,5,2,242,151,169,215,231,-9,1,17,7
11950,Mzb1,72,64,40,28,46,37,23,11,242,124,141,179,203,26,27,17,17
4184,Cyp2d40,52,50,18,6,18,13,1,1,242,172,179,223,235,34,37,17,5
9355,Il10,66,61,21,10,20,17,4,2,242,156,164,217,230,46,44,17,8
7728,Gm6169,58,48,31,23,32,25,14,8,242,152,169,197,211,26,23,17,15
1886,Banp,101,64,18,8,21,15,2,0,242,120,163,222,234,80,49,16,8
7517,Gm45234,68,58,36,29,56,46,20,15,242,118,138,186,198,12,12,16,14
3789,Cplx3,73,60,23,8,34,22,7,0,242,135,160,212,234,39,38,16,8
11490,Mpo,70,52,22,11,43,27,6,1,242,129,163,214,230,27,25,16,10
6365,Gadd45g,113,85,20,8,20,16,4,1,242,109,141,218,233,93,69,16,7
11510,Mpzl2,51,34,18,13,52,32,2,0,242,139,176,222,229,-1,2,16,13
19144,Tex43,55,49,30,19,33,25,14,5,242,154,168,198,218,22,24,16,14
1790,Avp,43,37,25,15,15,15,9,1,242,184,190,208,226,28,22,16,14
16061,Rbmy,25,25,18,14,7,3,2,2,242,210,214,222,226,18,22,16,12
19555,Tmem252,67,36,16,9,38,13,0,0,242,137,193,226,233,29,23,16,9
15625,Ptcra,92,60,23,10,43,32,7,2,242,107,150,212,230,49,28,16,8
9062,Igfbp3,52,37,16,12,37,13,0,0,242,153,192,226,230,15,24,16,12
14704,Pin1rt1,81,69,30,16,48,39,14,4,242,113,134,198,222,33,30,16,12
8460,H4c18,96,77,30,23,33,26,14,10,242,113,139,198,209,63,51,16,13
17751,Slc5a5,95,70,18,7,32,17,2,0,242,115,155,222,235,63,53,16,7
20239,Trpc2,27,27,20,15,7,7,4,3,242,208,208,218,224,20,20,16,12
5255,Elf3,67,42,19,11,53,30,3,0,242,122,170,220,231,14,12,16,11
8831,Hsd17b1,81,57,20,5,53,37,4,1,242,108,148,218,236,28,20,16,4
8811,Hrk,44,31,17,9,27,14,1,0,242,171,197,224,233,17,17,16,9
