human symbol,mouse symbol,human,mouse,Total,HSF1 average peak,HSF2 average peak,PPARGC1A average peak
ACADL,Acadl,6,1,7,0,0,0
ACADM,Acadm,4,-3,1,8.883495,0,0
ACADS,Acads,5,2,7,14.126214,0,0
ACADSB,Acadsb,0,-3,-3,1.912621,0,0
ACADVL,Acadvl,5,0,5,20.543689,0,0
ACAN,Acan,-3,3,0,0,0,0
ACAP1,Acap1,12,0,12,6.349515,0,0
ACAP2,Acap2,3,-5,-2,126.84466,0,0
ACAP3,Acap3,9,-5,4,3.038835,0,0
ACAT1,Acat1,6,-6,0,4.563107,0,0
ACAT2,Acat2,-2,-2,-4,4.174757,0,0
ACBD3,Acbd3,5,-3,2,23.776699,0,0
ACBD4,Acbd4,3,-1,2,0,0,0
ACBD5,Acbd5,5,-7,-2,5.165049,0,0
ACBD6,Acbd6,5,-5,0,13.23301,0,0
ACBD7,Acbd7,4,13,17,0.84466,0,0
ACCS,Accs,-19,-6,-25,1.436893,0,0
ACCSL,Accsl,-3,-10,-13,0,0,0
ACD,Acd,-2,-3,-5,2.864078,0,0
ACE,Ace,8,1,9,0,0,0
ACE2,Ace2,6,4,10,0,0,0
ACER1,Acer1,5,-2,3,0,0,0
ACER2,Acer2,16,0,16,92.76699,0,0
ACER3,Acer3,3,0,3,3.23301,0,0
ACHE,Ache,33,1,34,32.601942,0,0
ACIN1,Acin1,9,-4,5,34.116505,0,0
ACKR1,Ackr1,2,-3,-1,0,0,0
ACKR2,Ackr2,-4,-7,-11,1.747573,0,0
ACKR3,Ackr3,-7,-4,-11,0,0,0
ACKR4,Ackr4,10,1,11,0,0,0
ACLY,Acly,5,-6,-1,2.485437,0,0
ACMSD,Acmsd,2,7,9,0,0,0
ACO1,Aco1,6,-4,2,2.854369,0,0
ACO2,Aco2,12,0,12,8.572816,0,0
ACOD1,Acod1,-1,0,-1,0,0,0
ACOT1,Acot1,1,2,3,0,0,0
ACOT11,Acot11,-2,-1,-3,0,0,0
ACOT12,Acot12,-3,4,1,3.019417,0,0
ACOT13,Acot13,4,1,5,33.757282,0,0
ACOT2,Acot2,1,1,2,3.203883,0,0
ACOT4,Acot4,4,-3,1,0,0,0
ACOT6,Acot6,3,-3,0,0,0,0
ACOT7,Acot7,9,-3,6,143.650485,52.791667,0
