human symbol,mouse symbol,human,mouse,Total,HSF1 average peak,HSF2 average peak,PPARGC1A average peak
EYA2,Eya2,2,5,7,0,0,0
EYA3,Eya3,8,1,9,13.708738,0,0
EYA4,Eya4,9,-7,2,0,0,0
EZH1,Ezh1,9,-5,4,2.563107,0,0
EZH2,Ezh2,6,-7,-1,8.796117,0,0
EZHIP,Ezhip,4,10,14,0,0,0
EZR,Ezr,10,-2,8,2.708738,0,0
F10,F10,3,-15,-12,0,0,0
F11,F11,14,-1,13,0,0,0
F11R,F11r,0,1,1,3.834951,0,0
F12,F12,-1,-1,-2,1.281553,0,0
F13A1,F13a1,-4,-1,-5,0,0,0
F13B,F13b,21,0,21,0,0,0
F2,F2,22,7,29,0,0,0
F2R,F2r,3,0,3,4.194175,0,0
F2RL1,F2rl1,2,3,5,3.533981,0,0
F2RL2,F2rl2,-2,10,8,0,0,0
F2RL3,F2rl3,3,4,7,1.213592,0,0
F3,F3,-7,9,2,6.932039,0,0
F5,F5,-1,-3,-4,0,0,0
F7,F7,3,-2,1,0,0,0
F8,F8,2,-1,1,13.184466,0,0
F9,F9,-2,-2,-4,0,0,0
FA2H,Fa2h,1,-8,-7,3.660194,0,0
FAAH,Faah,17,-4,13,0,0,0
FAAP100,Faap100,3,-2,1,0,0,0
FAAP20,Faap20,-1,-4,-5,7.398058,0,0
FAAP24,Faap24,-2,0,-2,2.961165,0,0
FABP1,Fabp1,1,-5,-4,0,0,0
FABP12,Fabp12,3,-4,-1,0,0,0
FABP2,Fabp2,6,6,12,0,0,0
FABP3,Fabp3,28,2,30,0,0,0
FABP4,Fabp4,12,4,16,0,0,0
FABP5,Fabp5,4,2,6,15.737864,0,0
FABP6,Fabp6,3,1,4,1.592233,0,0
FABP7,Fabp7,8,-5,3,0,0,0
FABP9,Fabp9,8,8,16,0,0,0
FADD,Fadd,-15,-3,-18,2.058252,0,0
FADS1,Fads1,5,0,5,7.398058,0,0
FADS2,Fads2,5,-2,3,7.854369,0,0
FADS3,Fads3,5,1,6,3.359223,0,0
FADS6,Fads6,1,-1,0,0,0,0
FAF1,Faf1,5,-2,3,14.650485,0,0
FAF2,Faf2,9,0,9,11.058252,0,0
FAH,Fah,-8,-1,-9,0,0,0
FAHD1,Fahd1,5,-3,2,4.796117,0,0
FAHD2A,Fahd2a,6,-1,5,2.524272,0,0
FAIM,Faim,4,-10,-6,9.15534,0,0
FAIM2,Faim2,7,3,10,0,0,0
FAM104A,Fam104a,3,0,3,3.92233,0,0
FAM107A,Fam107a,-1,-4,-5,64.699029,0,0
FAM107B,Fam107b,6,4,10,75.864078,0,0
FAM110A,Fam110a,-8,-5,-13,33.184466,0,0
FAM110B,Fam110b,7,-5,2,1.631068,0,0
FAM110C,Fam110c,-3,2,-1,0,0,0
FAM111A,Fam111a,-2,-8,-10,4.466019,0,0
FAM114A1,Fam114a1,1,-6,-5,4.271845,0,0
FAM114A2,Fam114a2,7,-5,2,4.436893,0,0
FAM117A,Fam117a,8,-3,5,3.203883,0,0
FAM117B,Fam117b,7,1,8,7.718447,0,0
FAM118A,Fam118a,4,-12,-8,12.902913,0,0
FAM118B,Fam118b,-5,-8,-13,7.650485,0,0
FAM120A,Fam120a,9,1,10,1.291262,0,0
FAM120B,Fam120b,-6,-4,-10,87.776699,0,0
FAM120C,Fam120c,8,2,10,3.252427,0,0
FAM124A,Fam124a,7,0,7,1.184466,0,0
FAM124B,Fam124b,5,-3,2,0,0,0
FAM131A,Fam131a,8,-1,7,5.92233,0,0
FAM131B,Fam131b,10,-3,7,14.300971,0,0
FAM131C,Fam131c,5,-3,2,0.912621,0,0
FAM133B,Fam133b,1,-8,-7,13.436893,0,0
FAM135A,Fam135a,6,-7,-1,3.213592,0,0
FAM135B,Fam135b,-4,-6,-10,3.601942,0,0
FAM136A,Fam136a,3,-4,-1,6.524272,0,0
FAM13A,Fam13a,13,6,19,29.679612,0,0
FAM13B,Fam13b,6,2,8,4.165049,0,0
FAM13C,Fam13c,3,-7,-4,3.660194,0,0
FAM149A,Fam149a,17,-4,13,99.825243,0,0
FAM151A,Fam151a,-6,-1,-7,0,0,0
FAM151B,Fam151b,14,1,15,30.805825,0,0
FAM161A,Fam161a,13,1,14,55.514563,0,0
FAM161B,Fam161b,0,-2,-2,15.38835,0,0
FAM162A,Fam162a,7,-2,5,26.019417,3.916667,0
FAM162B,Fam162b,15,-1,14,0,0,0
FAM163A,Fam163a,4,9,13,0,0,0
FAM163B,Fam163b,-4,0,-4,0,0,0
FAM166A,Fam166a,17,-13,4,0,0,0
FAM166B,Fam166b,0,-9,-9,0,0,0
FAM166C,Fam166c,5,3,8,11.504854,0,0
FAM167A,Fam167a,0,3,3,0,0,0
FAM167B,Fam167b,34,7,41,0,0,0
FAM168A,Fam168a,10,0,10,8.728155,0,0
FAM168B,Fam168b,5,-2,3,4.446602,0,0
FAM169A,Fam169a,5,-6,-1,0.92233,0,0
FAM170A,Fam170a,2,-5,-3,2.048544,0,0
FAM170B,Fam170b,1,-4,-3,0,0,0
FAM171A1,Fam171a1,5,0,5,5.087379,0,0
FAM171A2,Fam171a2,5,-3,2,7.029126,0,0
FAM171B,Fam171b,7,-2,5,2.776699,0,0
FAM172A,Fam172a,4,-1,3,2.203883,0,0
FAM174A,Fam174a,1,-3,-2,4.300971,0,0
FAM174B,Fam174b,3,2,5,9.970874,0,0
FAM174C,Fam174c,2,-3,-1,3.815534,0,0
FAM178B,Fam178b,-3,-11,-14,1.097087,0,0
FAM180A,Fam180a,9,11,20,0,0,0
FAM181A,Fam181a,0,-3,-3,0,0,0
FAM181B,Fam181b,13,-3,10,0,0,0
FAM184A,Fam184a,13,-9,4,7.796117,0,0
FAM184B,Fam184b,4,-3,1,0,0,0
FAM185A,Fam185a,3,-2,1,3.087379,0,0
FAM186A,Fam186a,3,-11,-8,17.097087,0,0
FAM186B,Fam186b,8,-4,4,0,0,0
FAM187A,Fam187a,-3,-10,-13,26.864078,0,0
FAM187B,Fam187b,9,1,10,0,0,0
FAM193A,Fam193a,9,-4,5,6.368932,0,0
FAM193B,Fam193b,7,-1,6,3.466019,0,0
FAM199X,Fam199x,8,-1,7,10.582524,3.583333,0
FAM204A,Fam204a,3,-9,-6,30.466019,0,0
FAM205C,Fam205c,4,0,4,0,0,0
FAM207A,Fam207a,-3,-4,-7,27.174757,0,0
FAM20A,Fam20a,-2,-7,-9,0,0,0
FAM20B,Fam20b,2,-10,-8,1.184466,0,0
FAM20C,Fam20c,1,-1,0,0,0,0
FAM210A,Fam210a,12,-3,9,10.252427,0,0
FAM210B,Fam210b,1,0,1,4,0,0
FAM216A,Fam216a,4,-4,0,5.728155,0,0
FAM216B,Fam216b,-3,-6,-9,0,0,0
FAM217A,Fam217a,3,-2,1,0,0,0
FAM217B,Fam217b,4,-5,-1,7.23301,0,0
FAM219A,Fam219a,1,-6,-5,2.097087,0,0
FAM219B,Fam219b,7,-7,0,3.165049,0,0
FAM220A,Fam220a,2,-5,-3,5.718447,0,0
FAM221A,Fam221a,4,-8,-4,2.456311,0,0
FAM221B,Fam221b,14,-7,7,4.631068,0,0
FAM222A,Fam222a,32,-1,31,50.864078,0,0
FAM222B,Fam222b,8,-3,5,2.514563,0,0
FAM227A,Fam227a,6,-10,-4,3.058252,0,0
FAM227B,Fam227b,5,-11,-6,46.533981,0,0
FAM228A,Fam228a,0,-5,-5,0,0,0
FAM228B,Fam228b,-3,-13,-16,15.990291,0,0
FAM229A,Fam229a,5,4,9,0,0,0
FAM229B,Fam229b,8,-16,-8,22.61165,0,0
FAM234A,Fam234a,10,-6,4,10.359223,0,0
FAM234B,Fam234b,3,-7,-4,15.592233,0,0
FAM240A,Fam240a,2,7,9,0,0,0
FAM240B,Fam240b,3,-2,1,0,0,0
FAM241A,Fam241a,5,-4,1,6.864078,0,0
FAM241B,Fam241b,12,-9,3,12.980583,0,0
FAM24A,Fam24a,1,-18,-17,0,0,0
FAM24B,Fam24b,2,-33,-31,3.436893,0,0
FAM32A,Fam32a,8,1,9,0,0,0
FAM3A,Fam3a,7,-3,4,3.572816,0,0
FAM3B,Fam3b,-6,-7,-13,0,0,0
FAM3C,Fam3c,7,-7,0,14.825243,0,0
FAM43A,Fam43a,14,6,20,7.466019,0,0
FAM43B,Fam43b,4,2,6,0,0,0
FAM47C,Fam47c,-1,-8,-9,0,0,0
FAM47E,Fam47e,0,-8,-8,8.058252,0,0
FAM50A,Fam50a,-2,3,1,2.145631,0,0
FAM50B,Fam50b,2,-5,-3,0,0,0
FAM53A,Fam53a,27,-4,23,5.941748,0,0
FAM53B,Fam53b,9,-10,-1,2.378641,0,0
FAM53C,Fam53c,-1,-7,-8,5.932039,0,0
FAM72A,Fam72a,-6,-7,-13,2.135922,0,0
FAM76A,Fam76a,3,-6,-3,5.92233,0,0
FAM76B,Fam76b,0,-1,-1,5.786408,0,0
FAM78A,Fam78a,9,-11,-2,0,0,0
FAM78B,Fam78b,0,1,1,0,0,0
FAM81A,Fam81a,4,-10,-6,37.932039,0,0
FAM81B,Fam81b,-2,-7,-9,0,0,0
FAM83A,Fam83a,15,0,15,22.718447,0,0
FAM83B,Fam83b,2,9,11,0,0,0
FAM83C,Fam83c,51,1,52,6.466019,0,0
FAM83D,Fam83d,1,-2,-1,27.990291,0,0
FAM83E,Fam83e,27,-2,25,112.524272,9,0
FAM83F,Fam83f,1,3,4,2.466019,0,0
FAM83G,Fam83g,7,3,10,0,0,0
FAM83H,Fam83h,-3,-10,-13,6.951456,0,0
FAM89A,Fam89a,-11,-6,-17,3.757282,0,0
FAM89B,Fam89b,9,-10,-1,12.291262,0,0
FAM8A1,Fam8a1,5,-1,4,7.116505,0,0
FAM91A1,Fam91a1,7,-1,6,7.058252,0,0
FAM98A,Fam98a,10,-4,6,5.728155,0,0
FAM98B,Fam98b,3,-4,-1,19.640777,0,0
FAM98C,Fam98c,5,-6,-1,7.213592,0,0
FAN1,Fan1,5,-1,4,12.223301,0,0
FANCA,Fanca,-1,-5,-6,3.533981,0,0
FANCB,Fancb,3,-7,-4,2.213592,0,0
FANCC,Fancc,3,-4,-1,13.456311,0,0
FANCD2,Fancd2,2,-7,-5,11.106796,0,0
FANCD2OS,Fancd2os,2,-18,-16,0,0,0
FANCE,Fance,-11,0,-11,2.23301,0,0
FANCF,Fancf,-2,-9,-11,0.980583,0,0
FANCG,Fancg,9,-5,4,17.359223,0,0
FANCI,Fanci,3,-10,-7,21.126214,0,0
FANCL,Fancl,5,-7,-2,22.23301,0,0
FANCM,Fancm,7,-2,5,10.864078,0,0
FANK1,Fank1,12,2,14,51.038835,0,0
FAP,Fap,16,-1,15,1.38835,0,0
FAR1,Far1,4,-5,-1,5.349515,0,0
FAR2,Far2,-3,-9,-12,12.640777,0,0
FARP1,Farp1,-1,-1,-2,2.242718,0,0
FARP2,Farp2,6,-1,5,5.563107,0,0
FARS2,Fars2,7,-2,5,46.23301,0,0
FARSA,Farsa,0,-2,-2,14.737864,0,0
FARSB,Farsb,1,-5,-4,0,0,0
FAS,Fas,-2,4,2,0,0,0
FASN,Fasn,6,-3,3,34.466019,0,0
FASTK,Fastk,0,-7,-7,2.223301,0,0
FASTKD1,Fastkd1,6,-3,3,0,0,136
FASTKD2,Fastkd2,-20,-5,-25,5.990291,0,0
FASTKD3,Fastkd3,-5,-3,-8,9.543689,0,0
FASTKD5,Fastkd5,-2,-6,-8,7.242718,0,246
FAT1,Fat1,10,-4,6,0,0,0
FAT2,Fat2,6,1,7,0,0,0
FAT3,Fat3,6,-5,1,0,0,0
FAT4,Fat4,4,-8,-4,0,0,0
FATE1,Fate1,1,2,3,5.184466,0,0
FAU,Fau,9,0,9,29.097087,0,0
FAXC,Faxc,7,-7,0,10.252427,0,0
FBF1,Fbf1,5,-4,1,46.31068,0,0
FBH1,Fbh1,4,-9,-5,6.669903,0,0
FBL,Fbl,3,0,3,1.990291,0,0
FBLIM1,Fblim1,-3,0,-3,0.747573,0,0
FBLL1,Fbll1,116,1,117,0,0,0
FBLN1,Fbln1,4,5,9,0,0,0
FBLN2,Fbln2,-5,4,-1,0,0,0
FBLN5,Fbln5,11,-5,6,0,0,0
FBLN7,Fbln7,2,-1,1,0,0,0
FBN1,Fbn1,0,-3,-3,0,0,0
FBN2,Fbn2,18,-5,13,0,0,0
FBP1,Fbp1,-1,-3,-4,0,0,0
FBP2,Fbp2,2,8,10,0,0,0
FBRS,Fbrs,7,-6,1,17.116505,0,0
FBRSL1,Fbrsl1,8,7,15,0,0,0
FBXL12,Fbxl12,2,-4,-2,3.349515,0,0
FBXL13,Fbxl13,1,-6,-5,85.126214,0,0
FBXL14,Fbxl14,58,-1,57,205.883495,0,0
FBXL15,Fbxl15,1,-3,-2,3.019417,0,0
FBXL16,Fbxl16,5,-1,4,58.893204,0,0
FBXL17,Fbxl17,6,-1,5,6.271845,0,0
FBXL18,Fbxl18,4,-2,2,4.446602,0,0
FBXL19,Fbxl19,13,-7,6,2.07767,0,0
FBXL2,Fbxl2,3,-1,2,23.650485,0,0
FBXL20,Fbxl20,7,-8,-1,3.699029,0,0
FBXL22,Fbxl22,5,4,9,5.097087,0,0
FBXL3,Fbxl3,2,-2,0,2.621359,0,0
FBXL4,Fbxl4,2,-3,-1,6.621359,0,0
FBXL5,Fbxl5,-3,-4,-7,4.174757,4.333333,0
FBXL6,Fbxl6,-6,-1,-7,42.349515,11.208333,0
FBXL7,Fbxl7,7,0,7,0,0,0
FBXL8,Fbxl8,-1,-7,-8,4.106796,0,0
FBXO10,Fbxo10,12,-3,9,0,0,0
FBXO11,Fbxo11,9,2,11,7.524272,0,0
FBXO15,Fbxo15,37,-11,26,307.864078,266.708333,229
FBXO16,Fbxo16,-2,5,3,3.504854,0,0
FBXO17,Fbxo17,3,0,3,0,0,0
FBXO2,Fbxo2,8,-7,1,4.563107,0,0
FBXO21,Fbxo21,3,-1,2,3.873786,0,0
FBXO22,Fbxo22,5,-6,-1,7.271845,0,0
FBXO24,Fbxo24,12,-7,5,7.631068,0,0
FBXO25,Fbxo25,1,-4,-3,0,0,0
FBXO27,Fbxo27,10,0,10,0,0,0
FBXO28,Fbxo28,4,0,4,0,0,0
FBXO3,Fbxo3,2,-5,-3,6.165049,0,0
FBXO30,Fbxo30,7,-3,4,5.699029,0,0
FBXO31,Fbxo31,-1,-1,-2,72.660194,0,0
FBXO32,Fbxo32,14,0,14,19.262136,0,0
FBXO33,Fbxo33,8,1,9,2.398058,0,0
FBXO34,Fbxo34,-6,0,-6,10.912621,0,0
FBXO36,Fbxo36,1,-11,-10,12.058252,0,0
FBXO38,Fbxo38,4,-7,-3,4.834951,0,0
FBXO39,Fbxo39,2,-8,-6,0,0,0
FBXO4,Fbxo4,3,-4,-1,5.174757,0,0
FBXO40,Fbxo40,1,-1,0,0,0,0
FBXO41,Fbxo41,4,-3,1,0,0,0
FBXO42,Fbxo42,2,-2,0,8.271845,0,0
FBXO43,Fbxo43,-3,-7,-10,6.747573,0,0
FBXO44,Fbxo44,10,-3,7,4.563107,0,0
FBXO45,Fbxo45,3,-4,-1,15.951456,0,0
FBXO46,Fbxo46,7,-8,-1,19.970874,0,0
FBXO47,Fbxo47,8,-7,1,73.834951,0,0
FBXO48,Fbxo48,4,-4,0,6.524272,0,0
FBXO5,Fbxo5,-10,-16,-26,2.126214,0,0
FBXO6,Fbxo6,-1,-3,-4,2.941748,0,0
FBXO7,Fbxo7,7,-4,3,5.650485,0,0
FBXO8,Fbxo8,6,0,6,0,0,0
FBXO9,Fbxo9,5,-1,4,4.427184,0,0
FBXW10,Fbxw10,51,-6,45,0,0,0
FBXW11,Fbxw11,5,-2,3,4.84466,0,0
FBXW2,Fbxw2,7,-2,5,19.106796,4.416667,0
FBXW4,Fbxw4,3,-4,-1,1.320388,0,0
FBXW5,Fbxw5,3,-6,-3,7.058252,0,0
FBXW7,Fbxw7,9,-3,6,26.368932,0,0
FBXW8,Fbxw8,6,-1,5,11.961165,0,0
FBXW9,Fbxw9,3,2,5,29.300971,0,0
FCAMR,Fcamr,4,-3,1,0,0,0
FCER1A,Fcer1a,2,-1,1,0,0,0
FCER1G,Fcer1g,-10,0,-10,0,0,0
FCF1,Fcf1,5,-5,0,0,0,0
FCGBP,Fcgbp,8,-1,7,0,0,0
FCGR2B,Fcgr2b,7,10,17,0,0,0
FCGRT,Fcgrt,11,-9,2,2.533981,0,0
FCHO1,Fcho1,8,0,8,11.825243,0,0
FCHO2,Fcho2,2,-3,-1,4.631068,0,0
FCHSD1,Fchsd1,7,6,13,0,0,0
FCHSD2,Fchsd2,8,-1,7,10.398058,0,0
FCMR,Fcmr,10,-10,0,0,0,0
FCRL1,Fcrl1,-1,8,7,0,0,0
FCRL5,Fcrl5,1,1,2,0,0,0
FCRL6,Fcrl6,6,0,6,4.31068,0,0
FCRLA,Fcrla,0,-9,-9,0,0,0
FCRLB,Fcrlb,0,-1,-1,16.796117,0,0
FCSK,Fcsk,8,2,10,10.466019,0,0
FDFT1,Fdft1,7,-3,4,2.631068,0,0
FDPS,Fdps,-3,0,-3,0,0,0
FDX1,Fdx1,3,-1,2,17.805825,0,0
FDX2,Fdx2,6,1,7,5.796117,0,0
FDXACB1,Fdxacb1,-6,-8,-14,12.951456,0,0
FDXR,Fdxr,0,-3,-3,3.601942,0,0
FECH,Fech,1,-4,-3,6.970874,0,0
FEM1A,Fem1a,4,-1,3,4.213592,0,0
FEM1B,Fem1b,-3,-5,-8,12.097087,0,101
FEM1C,Fem1c,13,-2,11,7.466019,0,0
FEN1,Fen1,3,0,3,4.961165,0,0
FER,Fer,4,-4,0,38.631068,0,0
FER1L5,Fer1l5,6,-9,-3,45.601942,0,0
FER1L6,Fer1l6,-1,-3,-4,0,0,0
FERD3L,Ferd3l,2,-1,1,0,0,0
FERMT1,Fermt1,-12,2,-10,4.728155,0,0
FERMT2,Fermt2,9,1,10,4.563107,0,0
FERMT3,Fermt3,53,15,68,0,0,0
FES,Fes,33,3,36,0,0,0
FETUB,Fetub,9,3,12,3.621359,0,0
FEV,Fev,0,-5,-5,0,0,0
FEZ1,Fez1,3,-8,-5,0,0,0
FEZ2,Fez2,2,0,2,6.514563,0,0
FEZF1,Fezf1,0,-1,-1,0,0,0
FEZF2,Fezf2,5,0,5,0,0,0
FFAR1,Ffar1,3,-7,-4,0,0,0
FFAR2,Ffar2,-1,-10,-11,0,0,0
FFAR3,Ffar3,2,1,3,1.067961,0,0
FFAR4,Ffar4,6,-2,4,0,0,0
FGA,Fga,0,9,9,0,0,0
FGB,Fgb,4,-3,1,0,0,0
FGD1,Fgd1,9,-3,6,1.291262,0,0
FGD2,Fgd2,6,-6,0,0,0,0
FGD3,Fgd3,-15,-6,-21,4.135922,0,0
FGD4,Fgd4,10,0,10,4.864078,0,0
FGD5,Fgd5,0,0,0,7.417476,0,0
FGD6,Fgd6,10,-1,9,4.281553,0,0
FGF1,Fgf1,10,6,16,0,0,0
FGF10,Fgf10,0,-8,-8,1.194175,0,0
FGF11,Fgf11,18,-3,15,10.718447,0,0
FGF12,Fgf12,4,-4,0,1.92233,0,0
FGF13,Fgf13,4,-3,1,2.330097,0,0
FGF14,Fgf14,0,-4,-4,0,0,0
FGF16,Fgf16,1,7,8,0,0,0
FGF17,Fgf17,8,17,25,0,0,0
FGF18,Fgf18,34,12,46,0,0,0
FGF2,Fgf2,3,-6,-3,5.087379,0,0
FGF20,Fgf20,-9,-4,-13,7.252427,0,0
FGF21,Fgf21,26,33,59,1.805825,0,0
FGF22,Fgf22,8,-6,2,6.058252,0,0
FGF23,Fgf23,4,-7,-3,0,0,0
FGF3,Fgf3,0,-7,-7,1.601942,0,0
FGF4,Fgf4,0,1,1,0,0,0
FGF5,Fgf5,2,-6,-4,1.058252,0,0
FGF6,Fgf6,15,-1,14,0,0,0
FGF7,Fgf7,1,-9,-8,0,0,0
FGF8,Fgf8,22,13,35,0,0,0
FGF9,Fgf9,12,0,12,2.524272,0,0
FGFBP1,Fgfbp1,3,1,4,0,0,0
FGFBP3,Fgfbp3,7,2,9,12.980583,0,0
FGFR1,Fgfr1,13,0,13,21.893204,0,0
FGFR1OP2,Fgfr1op2,7,-4,3,6.330097,0,0
FGFR2,Fgfr2,6,-2,4,2.436893,0,0
FGFR3,Fgfr3,8,2,10,0,0,0
FGFR4,Fgfr4,5,5,10,3.864078,0,0
FGFRL1,Fgfrl1,2,-6,-4,0,0,0
FGG,Fgg,-4,7,3,0,0,0
FGGY,Fggy,0,-5,-5,6.728155,0,0
FGL1,Fgl1,7,10,17,0,0,0
FGL2,Fgl2,-2,1,-1,0,0,0
FGR,Fgr,-2,-4,-6,0,0,0
FHAD1,Fhad1,1,1,2,13.291262,0,0
FHDC1,Fhdc1,-3,-4,-7,1,0,0
FHIT,Fhit,9,1,10,1.718447,0,0
FHL1,Fhl1,20,4,24,12.135922,0,0
FHL2,Fhl2,0,7,7,5.126214,0,0
FHL3,Fhl3,1,-2,-1,6.446602,0,0
FHL5,Fhl5,39,-5,34,0,0,0
FHOD1,Fhod1,-2,-6,-8,2.631068,0,0
FHOD3,Fhod3,3,-5,-2,0,0,0
FIBCD1,Fibcd1,-6,12,6,0,0,0
FIBIN,Fibin,-2,1,-1,0,0,0
FIBP,Fibp,7,-3,4,9.475728,0,0
FICD,Ficd,-1,-2,-3,2.271845,0,0
FIG4,Fig4,5,0,5,8.029126,0,0
FIGLA,Figla,1,-1,0,0,0,0
FIGN,Fign,4,-4,0,3.699029,0,0
FIGNL1,Fignl1,-2,-20,-22,4.902913,0,0
FIGNL2,Fignl2,-1,-2,-3,1.330097,0,0
FILIP1,Filip1,1,0,1,1.116505,0,0
FILIP1L,Filip1l,21,1,22,0,0,0
FIP1L1,Fip1l1,-1,-3,-4,15.291262,3.458333,0
FIS1,Fis1,7,-3,4,4.970874,0,0
FITM1,Fitm1,20,-5,15,2.407767,0,0
FITM2,Fitm2,2,0,2,9.262136,0,0
FIZ1,Fiz1,-3,-9,-12,7.417476,0,0
FJX1,Fjx1,-23,-4,-27,2.320388,0,0
FKBP10,Fkbp10,5,-7,-2,2.679612,0,0
FKBP11,Fkbp11,2,7,9,0,0,0
FKBP14,Fkbp14,1,2,3,0,0,0
FKBP15,Fkbp15,3,-2,1,9.135922,0,0
FKBP1A,Fkbp1a,7,-2,5,6.825243,0,0
FKBP1B,Fkbp1b,14,-10,4,0,0,0
FKBP2,Fkbp2,2,-7,-5,0.796117,0,0
FKBP3,Fkbp3,3,-1,2,10.864078,0,0
FKBP4,Fkbp4,129,8,137,505.126214,269.208333,0
FKBP5,Fkbp5,-1,-3,-4,8.728155,0,0
FKBP6,Fkbp6,2,4,6,1.349515,0,113
FKBP7,Fkbp7,4,-2,2,3.834951,0,0
FKBP8,Fkbp8,11,-12,-1,2.718447,0,0
FKBP9,Fkbp9,3,0,3,5.087379,0,0
FKBPL,Fkbpl,-7,-3,-10,11.84466,0,0
FKRP,Fkrp,-10,-4,-14,1.854369,0,0
FKTN,Fktn,1,-6,-5,6.718447,0,0
FLACC1,Flacc1,9,-11,-2,0,0,0
FLAD1,Flad1,5,-1,4,0,0,0
FLCN,Flcn,5,0,5,1.174757,0,0
FLG,Flg,0,10,10,0,0,0
FLG2,Flg2,0,1,1,0,0,0
FLI1,Fli1,-18,0,-18,2.475728,0,0
FLII,Flii,7,-5,2,1,0,0
FLNA,Flna,3,-10,-7,2.252427,0,0
FLNB,Flnb,7,2,9,16.252427,0,0
FLNC,Flnc,8,-2,6,3.864078,0,0
FLOT1,Flot1,3,-5,-2,12.640777,0,0
FLOT2,Flot2,7,-2,5,8.563107,0,0
FLRT1,Flrt1,4,5,9,0,0,0
FLRT2,Flrt2,2,-4,-2,0,0,0
FLRT3,Flrt3,5,-9,-4,0,0,0
FLT1,Flt1,6,-1,5,0,0,0
FLT3,Flt3,2,-2,0,0,0,0
FLT4,Flt4,4,-2,2,8.796117,0,0
FLVCR1,Flvcr1,2,1,3,1.805825,0,0
FLVCR2,Flvcr2,-3,-7,-10,7.679612,0,0
FLYWCH1,Flywch1,-2,-10,-12,9.378641,0,0
FLYWCH2,Flywch2,0,-5,-5,0,0,0
FMC1,Fmc1,9,-10,-1,38.601942,0,0
FMN1,Fmn1,-2,-6,-8,0,0,0
FMN2,Fmn2,8,-1,7,0,0,0
FMNL1,Fmnl1,-2,2,0,1.466019,0,0
FMNL2,Fmnl2,8,-7,1,6.330097,0,0
FMNL3,Fmnl3,7,-6,1,15.902913,0,0
FMO1,Fmo1,-2,-5,-7,0,0,0
FMO2,Fmo2,0,7,7,0,0,0
FMO3,Fmo3,6,1,7,0,0,0
FMO4,Fmo4,4,3,7,0,0,0
FMO5,Fmo5,1,3,4,0,0,0
FMOD,Fmod,0,9,9,0,0,0
FMR1,Fmr1,4,7,11,2,0,0
FMR1NB,Fmr1nb,27,0,27,81.815534,0,0
FN1,Fn1,5,3,8,0,0,0
FN3K,Fn3k,4,-9,-5,0.776699,0,0
FN3KRP,Fn3krp,6,-8,-2,0,0,0
FNBP1,Fnbp1,13,0,13,4.650485,0,0
FNBP1L,Fnbp1l,11,-7,4,10.368932,0,0
FNBP4,Fnbp4,-2,-4,-6,5.61165,0,0
FNDC1,Fndc1,3,-3,0,2.165049,0,0
FNDC10,Fndc10,3,-3,0,0,0,0
FNDC11,Fndc11,5,-14,-9,0,0,0
FNDC3A,Fndc3a,6,-5,1,1.15534,0,0
FNDC3B,Fndc3b,4,-1,3,9.194175,0,0
FNDC4,Fndc4,2,-1,1,0,0,0
FNDC5,Fndc5,1,-1,0,1.116505,0,0
FNDC7,Fndc7,13,-2,11,0,0,0
FNDC8,Fndc8,-2,-7,-9,1.61165,0,0
FNDC9,Fndc9,4,-5,-1,7.563107,0,0
FNIP1,Fnip1,-1,-1,-2,2.213592,0,0
FNIP2,Fnip2,12,-3,9,1.203883,0,0
FNTA,Fnta,6,-7,-1,7.213592,0,0
FNTB,Fntb,5,0,5,7.669903,0,0
FOCAD,Focad,3,-3,0,3.757282,0,0
FOLH1,Folh1,-6,4,-2,0,0,0
FOLR1,Folr1,-2,8,6,0,0,0
FOLR2,Folr2,1,-3,-2,0,0,0
FOS,Fos,165,51,216,84.893204,0,0
FOSB,Fosb,118,13,131,24.320388,0,0
FOSL1,Fosl1,-11,1,-10,7.495146,0,0
FOSL2,Fosl2,-5,9,4,29.067961,0,0
FOXA1,Foxa1,13,-1,12,3.737864,0,0
FOXA2,Foxa2,2,7,9,0,0,0
FOXA3,Foxa3,18,5,23,0.737864,0,0
FOXB1,Foxb1,3,8,11,1.067961,0,0
FOXB2,Foxb2,-3,-4,-7,0,0,0
FOXC1,Foxc1,11,2,13,1.106796,0,0
FOXC2,Foxc2,10,8,18,12.621359,0,0
FOXD1,Foxd1,-5,0,-5,1.252427,0,0
FOXD2,Foxd2,-1,5,4,2.223301,0,0
FOXD3,Foxd3,30,-4,26,20.194175,0,0
FOXD4,Foxd4,27,6,33,1.854369,7,0
FOXE1,Foxe1,7,-1,6,0,0,0
FOXE3,Foxe3,12,-5,7,0,0,0
FOXF1,Foxf1,6,6,12,0,0,0
FOXF2,Foxf2,4,-6,-2,0,0,0
FOXG1,Foxg1,6,2,8,0,0,0
FOXH1,Foxh1,-3,-7,-10,85.84466,0,0
FOXI1,Foxi1,4,3,7,0,0,0
FOXI2,Foxi2,0,-7,-7,0,0,0
FOXI3,Foxi3,5,-1,4,0,0,0
FOXJ1,Foxj1,83,2,85,120.116505,0,163
FOXJ2,Foxj2,6,-1,5,8.796117,0,0
FOXJ3,Foxj3,9,-3,6,24.097087,0,0
FOXK1,Foxk1,9,-3,6,10.951456,0,0
FOXK2,Foxk2,9,0,9,9.320388,0,0
FOXL1,Foxl1,1,-1,0,1.631068,0,0
