,human_symbol,human,mouse
0,A1BG,0.18900343642611683,0.18681318681318684
1,A1CF,0.18556701030927836,0.18131868131868134
2,A2M,0.18213058419243985,0.14835164835164838
3,A2ML1,0.21649484536082475,0.19780219780219782
4,A3GALT2,0.2027491408934708,0.25824175824175827
5,A4GALT,0.18213058419243985,0.14835164835164838
6,A4GNT,0.1752577319587629,0.18131868131868134
7,AAAS,0.2027491408934708,0.1208791208791209
8,AACS,0.19931271477663232,0.16483516483516486
9,AADAC,0.2268041237113402,0.19780219780219782
10,AADACL2,0.17869415807560138,0.18681318681318684
11,AADACL3,0.23367697594501718,0.18131868131868134
12,AADACL4,0.18213058419243985,0.18131868131868134
13,AADAT,0.18213058419243985,0.16483516483516486
14,AAGAB,0.1958762886597938,0.18681318681318684
15,AAK1,0.19243986254295534,0.18681318681318684
16,AAMDC,0.18900343642611683,0.1318681318681319
17,AAMP,0.2027491408934708,0.16483516483516486
18,AANAT,0.24398625429553267,0.1208791208791209
19,AAR2,0.17869415807560138,0.15934065934065936
20,AARD,0.18213058419243985,0.2142857142857143
21,AARS2,0.18900343642611683,0.14285714285714288
22,AARSD1,0.16838487972508592,0.14285714285714288
23,AASDH,0.1958762886597938,0.1318681318681319
24,AASDHPPT,0.1958762886597938,0.14285714285714288
25,AASS,0.18556701030927836,0.2197802197802198
26,AATF,0.21305841924398627,0.18681318681318684
27,AATK,0.20618556701030927,0.16483516483516486
28,ABAT,0.2268041237113402,0.15934065934065936
29,ABCA1,0.1958762886597938,0.18681318681318684
30,ABCA12,0.16151202749140894,0.18131868131868134
31,ABCA13,0.18900343642611683,0.19230769230769232
32,ABCA2,0.18213058419243985,0.15934065934065936
33,ABCA3,0.2027491408934708,0.20879120879120883
34,ABCA4,0.18213058419243985,0.18681318681318684
35,ABCA5,0.19931271477663232,0.17582417582417584
36,ABCA6,0.18213058419243985,0.20879120879120883
37,ABCA7,0.19243986254295534,0.15384615384615385
38,ABCA9,0.18556701030927836,0.17582417582417584
39,ABCB10,0.1752577319587629,0.15384615384615385
40,ABCB11,0.21649484536082475,0.13736263736263737
41,ABCB4,0.26804123711340205,0.19230769230769232
42,ABCB5,0.1718213058419244,0.18131868131868134
43,ABCB6,0.17869415807560138,0.18681318681318684
44,ABCB7,0.18900343642611683,0.18131868131868134
45,ABCB8,0.21305841924398627,0.2142857142857143
46,ABCB9,0.16494845360824742,0.19230769230769232
47,ABCC1,0.20618556701030927,0.18681318681318684
48,ABCC10,0.14776632302405499,0.16483516483516486
49,ABCC12,0.20618556701030927,0.1263736263736264
50,ABCC2,0.20962199312714777,0.15934065934065936
51,ABCC3,0.20618556701030927,0.09890109890109891
52,ABCC4,0.18900343642611683,0.17582417582417584
53,ABCC5,0.2027491408934708,0.19230769230769232
54,ABCC6,0.14432989690721648,0.17582417582417584
55,ABCC8,0.20962199312714777,0.19780219780219782
56,ABCC9,0.18900343642611683,0.17582417582417584
57,ABCD1,0.18213058419243985,0.14835164835164838
58,ABCD2,0.18213058419243985,0.17582417582417584
59,ABCD3,0.1958762886597938,0.16483516483516486
60,ABCD4,0.20618556701030927,0.15934065934065936
61,ABCE1,0.18900343642611683,0.17032967032967036
62,ABCF1,0.2027491408934708,0.13736263736263737
63,ABCF2,0.18900343642611683,0.14835164835164838
64,ABCF3,0.2027491408934708,0.15384615384615385
65,ABCG1,0.18556701030927836,0.19230769230769232
66,ABCG2,0.18556701030927836,0.18131868131868134
67,ABCG4,0.18900343642611683,0.20879120879120883
68,ABCG5,0.19243986254295534,0.17032967032967036
69,ABCG8,0.18556701030927836,0.14835164835164838
70,ABHD1,0.19243986254295534,0.14835164835164838
71,ABHD10,0.1752577319587629,0.15934065934065936
72,ABHD11,0.2027491408934708,0.16483516483516486
73,ABHD12,0.19243986254295534,0.14285714285714288
74,ABHD12B,0.16838487972508592,0.20329670329670332
75,ABHD13,0.17869415807560138,0.17582417582417584
76,ABHD14A,0.21305841924398627,0.1263736263736264
77,ABHD14B,0.1718213058419244,0.16483516483516486
78,ABHD15,0.18900343642611683,0.15384615384615385
79,ABHD16A,0.20962199312714777,0.16483516483516486
80,ABHD16B,0.2714776632302406,0.17582417582417584
81,ABHD17A,0.19243986254295534,0.14835164835164838
82,ABHD17B,0.2268041237113402,0.15934065934065936
83,ABHD17C,0.18556701030927836,0.18131868131868134
84,ABHD18,0.1752577319587629,0.17032967032967036
85,ABHD2,0.19243986254295534,0.16483516483516486
86,ABHD3,0.3402061855670103,0.23626373626373628
87,ABHD4,0.20962199312714777,0.17582417582417584
88,ABHD5,0.20962199312714777,0.15384615384615385
89,ABHD6,0.18213058419243985,0.1318681318681319
90,ABHD8,0.1718213058419244,0.16483516483516486
91,ABI1,0.20618556701030927,0.16483516483516486
92,ABI2,0.2027491408934708,0.16483516483516486
93,ABI3,0.21305841924398627,0.16483516483516486
94,ABI3BP,0.1958762886597938,0.18131868131868134
95,ABITRAM,0.21305841924398627,0.15934065934065936
96,ABL1,0.21305841924398627,0.15934065934065936
97,ABL2,0.20962199312714777,0.16483516483516486
98,ABLIM1,0.17869415807560138,0.15934065934065936
99,ABLIM2,0.19243986254295534,0.20879120879120883
100,ABLIM3,0.20618556701030927,0.17582417582417584
101,ABO,0.15463917525773196,0.15384615384615385
102,ABR,0.2027491408934708,0.16483516483516486
103,ABRA,0.22336769759450173,0.17582417582417584
104,ABRACL,0.1718213058419244,0.17032967032967036
105,ABRAXAS1,0.18213058419243985,0.1263736263736264
106,ABRAXAS2,0.18556701030927836,0.16483516483516486
107,ABT1,0.1718213058419244,0.15934065934065936
108,ABTB1,0.18213058419243985,0.14835164835164838
109,ABTB2,0.29553264604810997,0.19780219780219782
110,ACAA2,0.19243986254295534,0.13736263736263737
111,ACACA,0.2027491408934708,0.15384615384615385
112,ACACB,0.17869415807560138,0.15384615384615385
113,ACAD10,0.21649484536082475,0.17032967032967036
114,ACAD11,0.18900343642611683,0.18681318681318684
115,ACAD8,0.19931271477663232,0.17032967032967036
116,ACAD9,0.1958762886597938,0.14285714285714288
117,ACADL,0.19931271477663232,0.18681318681318684
118,ACADM,0.19243986254295534,0.16483516483516486
119,ACADS,0.1958762886597938,0.19230769230769232
120,ACADSB,0.17869415807560138,0.16483516483516486
121,ACADVL,0.1958762886597938,0.18131868131868134
