GeneName,RNA-seq-up,RNA-seq-down,RNA-seq-all,miRNA-seq-up,miRNA-seq-down,miRNA-seq-all,ncRNA-seq-up,ncRNA-seq-down,ncRNA-seq-all,unchange_RNA-seq,HN5_RNA-seq,unchange_miRNA-seq,HN5_miRNA-seq,unchange_ncRNA-seq,HN5_ncRNA-seq,PRO-seq-up,PRO-seq-down,PRO-seq-all,unchange_PRO-seq,HN5_PRO-seq,Timelapse-seq-up,Timelapse-seq-down,Timelapse-seq-all,unchange_Timelapse-seq,HN5_Timelapse-seq,Ribo-seq-up,Ribo-seq-down,Ribo-seq-all,unchange_Ribo-seq,HN5_Ribo-seq,all(check),Total_HN-score
Hspa1b,119,2,169,0,0,9,2,0,2,48,117,9,0,0,2,18,1,34,15,17,8,0,8,0,8,5,0,20,15,5,242,149
Hspa1a,120,1,169,0,0,9,1,0,2,48,119,9,0,1,1,15,2,34,17,13,0,0,8,8,0,4,0,20,16,4,242,137
Hspb1,92,1,169,0,0,9,0,0,2,76,91,9,0,2,0,14,0,34,20,14,2,0,8,6,2,4,0,20,16,4,242,111
Gm20481,84,7,169,0,0,9,0,0,2,78,77,9,0,2,0,6,0,34,28,6,3,0,8,5,3,2,0,20,18,2,242,88
Atf3,65,2,169,0,0,9,0,0,2,102,63,9,0,2,0,11,1,34,22,10,5,0,8,3,5,0,0,20,20,0,242,78
Dnajb1,58,0,169,0,0,9,2,0,2,111,58,9,0,0,2,7,0,34,27,7,2,0,8,6,2,2,0,20,18,2,242,71
Hsph1,51,0,169,1,0,9,1,0,2,118,51,8,1,1,1,10,2,34,22,8,0,0,8,8,0,3,0,20,17,3,242,64
Bag3,47,0,169,0,0,9,0,0,2,122,47,9,0,2,0,4,2,34,28,2,0,0,8,8,0,2,0,20,18,2,242,51
Fos,48,8,169,0,0,9,0,0,2,113,40,9,0,2,0,11,0,34,23,11,0,0,8,8,0,0,0,20,20,0,242,51
Edn1,38,0,169,0,0,9,0,0,2,131,38,9,0,2,0,6,1,34,27,5,1,0,8,7,1,1,0,20,19,1,242,45
Egr1,42,6,169,0,0,9,0,0,2,121,36,9,0,2,0,9,1,34,24,8,0,0,8,8,0,0,0,20,20,0,242,44
Phlda1,40,0,169,0,0,9,0,0,2,129,40,9,0,2,0,1,1,34,32,0,0,0,8,8,0,2,0,20,18,2,242,42
Ccnb1ip1,54,9,169,0,0,9,0,0,2,106,45,9,0,2,0,1,3,34,30,-2,0,0,8,8,0,2,7,20,11,-5,242,38
Hsp90aa1,29,1,169,0,1,9,2,0,2,139,28,8,-1,0,2,6,0,34,28,6,0,0,8,8,0,2,0,20,18,2,242,37
Hspb8,36,0,169,0,0,9,0,0,2,133,36,9,0,2,0,3,3,34,28,0,0,0,8,8,0,0,0,20,20,0,242,36
Kcnk4,25,2,169,0,1,9,0,0,2,142,23,8,-1,2,0,12,2,34,20,10,0,0,8,8,0,3,0,20,17,3,242,35
Best2,21,0,169,0,0,9,0,0,2,148,21,9,0,2,0,14,0,34,20,14,0,0,8,8,0,0,0,20,20,0,242,35
Dnaja4,38,0,169,0,0,9,1,0,2,131,38,9,0,1,1,1,5,34,28,-4,0,0,8,8,0,0,0,20,20,0,242,35
Fgf21,31,4,169,0,0,9,0,0,2,134,27,9,0,2,0,5,0,34,29,5,0,0,8,8,0,1,0,20,19,1,242,33
Xirp1,32,5,169,0,0,9,0,0,2,132,27,9,0,2,0,7,1,34,26,6,0,0,8,8,0,0,0,20,20,0,242,33
Gm44505,24,11,169,0,0,9,2,0,2,134,13,9,0,0,2,17,0,34,17,17,0,0,8,8,0,0,0,20,20,0,242,32
Hspa1l,37,1,169,0,0,9,0,0,2,131,36,9,0,2,0,0,6,34,28,-6,0,0,8,8,0,2,0,20,18,2,242,32
Gml,31,7,169,0,0,9,0,0,2,131,24,9,0,2,0,5,0,34,29,5,0,0,8,8,0,1,0,20,19,1,242,30
Ccn1,33,2,169,0,0,9,0,0,2,134,31,9,0,2,0,0,2,34,32,-2,0,0,8,8,0,1,0,20,19,1,242,30
Chac1,30,4,169,0,0,9,0,0,2,135,26,9,0,2,0,5,3,34,26,2,0,0,8,8,0,2,0,20,18,2,242,30
Phlda2,21,2,169,0,0,9,0,0,2,146,19,9,0,2,0,10,1,34,23,9,0,0,8,8,0,1,0,20,19,1,242,29
Myo1g,21,4,169,0,0,9,1,0,2,144,17,9,0,1,1,14,3,34,17,11,0,0,8,8,0,0,0,20,20,0,242,29
Tex52,23,2,169,0,0,9,0,0,2,144,21,9,0,2,0,9,1,34,24,8,0,0,8,8,0,0,0,20,20,0,242,29
Jun,29,4,169,0,0,9,0,0,2,136,25,9,0,2,0,3,1,34,30,2,0,0,8,8,0,1,0,20,19,1,242,28
Egr2,34,7,169,0,0,9,0,0,2,128,27,9,0,2,0,4,2,34,28,2,1,0,8,7,1,0,2,20,18,-2,242,28
Mc4r,27,0,169,0,0,9,0,0,2,142,27,9,0,2,0,0,0,34,34,0,0,0,8,8,0,0,0,20,20,0,242,27
Clu,18,2,169,0,0,9,0,0,2,149,16,9,0,2,0,10,2,34,22,8,1,0,8,7,1,2,0,20,18,2,242,27
Acta1,22,3,169,0,0,9,0,0,2,144,19,9,0,2,0,7,1,34,26,6,4,0,8,4,4,0,2,20,18,-2,242,27
Pspn,31,9,169,0,0,9,0,0,2,129,22,9,0,2,0,8,3,34,23,5,0,1,8,7,-1,1,0,20,19,1,242,27
Dnaja1,23,0,169,0,1,9,1,0,2,146,23,8,-1,1,1,4,2,34,28,2,0,0,8,8,0,1,0,20,19,1,242,26
Gm21738,33,13,169,0,0,9,0,1,2,123,20,9,0,1,-1,11,6,34,17,5,2,0,8,6,2,0,0,20,20,0,242,26
Ddit4,27,0,169,0,0,9,0,0,2,142,27,9,0,2,0,0,2,34,32,-2,1,0,8,7,1,0,0,20,20,0,242,26
Serpinf2,23,2,169,0,0,9,0,0,2,144,21,9,0,2,0,5,0,34,29,5,0,0,8,8,0,0,0,20,20,0,242,26
Ly6g6c,28,10,169,0,0,9,0,0,2,131,18,9,0,2,0,8,2,34,24,6,2,0,8,6,2,0,0,20,20,0,242,26
H1f8,16,4,169,0,0,9,0,0,2,149,12,9,0,2,0,13,0,34,21,13,0,0,8,8,0,0,0,20,20,0,242,25
Lrrc26,15,3,169,0,0,9,1,0,2,151,12,9,0,1,1,11,0,34,23,11,0,0,8,8,0,0,0,20,20,0,242,24
Pmaip1,25,0,169,0,0,9,0,0,2,144,25,9,0,2,0,3,4,34,27,-1,0,0,8,8,0,0,0,20,20,0,242,24
Gml2,24,2,169,0,1,9,0,0,2,143,22,8,-1,2,0,3,0,34,31,3,0,0,8,8,0,0,0,20,20,0,242,24
Gm38100,17,0,169,0,0,9,0,0,2,152,17,9,0,2,0,7,0,34,27,7,0,0,8,8,0,0,0,20,20,0,242,24
Prtn3,25,6,169,0,0,9,1,0,2,138,19,9,0,1,1,4,0,34,30,4,0,0,8,8,0,0,0,20,20,0,242,24
Arc,21,10,169,0,0,9,2,0,2,138,11,9,0,0,2,6,1,34,27,5,5,0,8,3,5,0,0,20,20,0,242,23
Gm14406,37,15,169,0,0,9,0,0,2,117,22,9,0,2,0,3,2,34,29,1,0,0,8,8,0,0,0,20,20,0,242,23
Lrg1,26,4,169,0,0,9,0,0,2,139,22,9,0,2,0,2,1,34,31,1,0,0,8,8,0,0,0,20,20,0,242,23
Gm49356,31,21,169,0,0,9,1,0,2,117,10,9,0,1,1,17,6,34,11,11,4,3,8,1,1,0,0,20,20,0,242,23
Lbx2,21,2,169,0,0,9,0,0,2,146,19,9,0,2,0,2,1,34,31,1,2,1,8,5,1,1,0,20,19,1,242,22
Gm11563,17,0,169,0,0,9,0,0,2,152,17,9,0,2,0,8,5,34,21,3,2,0,8,6,2,0,0,20,20,0,242,22
Mt2,20,2,169,1,0,9,0,0,2,147,18,8,1,2,0,5,4,34,25,1,0,0,8,8,0,2,0,20,18,2,242,22
Dedd2,16,0,169,0,0,9,1,0,2,153,16,9,0,1,1,5,2,34,27,3,0,0,8,8,0,2,0,20,18,2,242,22
Il1r2,25,9,169,0,0,9,0,0,2,135,16,9,0,2,0,7,1,34,26,6,0,0,8,8,0,0,0,20,20,0,242,22
Cebpb,17,0,169,0,0,9,0,0,2,152,17,9,0,2,0,4,0,34,30,4,0,0,8,8,0,1,0,20,19,1,242,22
Cdkn1a,22,0,169,0,0,9,0,0,2,147,22,9,0,2,0,0,1,34,33,-1,1,0,8,7,1,0,0,20,20,0,242,22
Serpina3n,20,0,169,0,0,9,0,0,2,149,20,9,0,2,0,2,0,34,32,2,0,0,8,8,0,0,0,20,20,0,242,22
Hspe1,19,0,169,0,0,9,0,0,2,150,19,9,0,2,0,3,0,34,31,3,0,0,8,8,0,0,0,20,20,0,242,22
Wfdc18,28,12,169,0,0,9,1,0,2,129,16,9,0,1,1,1,0,34,33,1,1,0,8,7,1,3,0,20,17,3,242,22
Ly6k,21,2,169,0,0,9,0,0,2,146,19,9,0,2,0,3,0,34,31,3,0,0,8,8,0,0,0,20,20,0,242,22
Gdf15,28,4,169,0,0,9,0,0,2,137,24,9,0,2,0,0,2,34,32,-2,0,0,8,8,0,0,0,20,20,0,242,22
Ifitm5,33,7,169,0,0,9,0,0,2,129,26,9,0,2,0,0,7,34,27,-7,3,0,8,5,3,0,0,20,20,0,242,22
Gm16253,27,4,169,0,0,9,0,0,2,138,23,9,0,2,0,1,3,34,30,-2,2,2,8,4,0,1,0,20,19,1,242,22
Krtap4-16,21,0,169,0,0,9,0,0,2,148,21,9,0,2,0,0,0,34,34,0,0,0,8,8,0,0,0,20,20,0,242,21
Tnfrsf23,17,5,169,0,0,9,1,0,2,147,12,9,0,1,1,7,0,34,27,7,0,0,8,8,0,1,0,20,19,1,242,21
Lman1l,16,1,169,0,0,9,0,0,2,152,15,9,0,2,0,8,0,34,26,8,0,0,8,8,0,0,2,20,18,-2,242,21
Cyp2e1,18,2,169,0,0,9,1,0,2,149,16,9,0,1,1,8,4,34,22,4,0,0,8,8,0,0,0,20,20,0,242,21
Fam71d,26,11,169,1,0,9,0,0,2,132,15,8,1,2,0,4,0,34,30,4,1,0,8,7,1,0,0,20,20,0,242,21
Nfil3,22,0,169,0,0,9,0,0,2,147,22,9,0,2,0,1,2,34,31,-1,0,0,8,8,0,0,0,20,20,0,242,21
Spp1,21,4,169,0,0,9,0,0,2,144,17,9,0,2,0,2,1,34,31,1,0,0,8,8,0,3,0,20,17,3,242,21
Iqcf1,17,9,169,0,1,9,0,0,2,143,8,8,-1,2,0,14,0,34,20,14,0,0,8,8,0,0,0,20,20,0,242,21
Pla2g4c,15,0,169,0,0,9,0,0,2,154,15,9,0,2,0,7,2,34,25,5,1,0,8,7,1,0,0,20,20,0,242,21
Defb42,23,5,169,0,0,9,0,0,2,141,18,9,0,2,0,3,0,34,31,3,0,0,8,8,0,0,0,20,20,0,242,21
Krtap1-5,18,1,169,0,0,9,0,0,2,150,17,9,0,2,0,6,4,34,24,2,0,0,8,8,0,1,0,20,19,1,242,20
S100a9,25,9,169,0,0,9,0,0,2,135,16,9,0,2,0,4,0,34,30,4,0,0,8,8,0,0,0,20,20,0,242,20
Ifitm10,14,3,169,0,0,9,0,0,2,152,11,9,0,2,0,7,1,34,26,6,2,0,8,6,2,1,0,20,19,1,242,20
Dnajb4,21,0,169,0,0,9,1,0,2,148,21,9,0,1,1,2,4,34,28,-2,0,0,8,8,0,0,0,20,20,0,242,20
Cys1,19,0,169,0,0,9,0,0,2,150,19,9,0,2,0,4,3,34,27,1,0,0,8,8,0,0,0,20,20,0,242,20
Rsrp1,12,1,169,0,1,9,0,0,2,156,11,8,-1,2,0,2,0,34,32,2,6,0,8,2,6,2,0,20,18,2,242,20
Trib3,19,1,169,0,0,9,0,0,2,149,18,9,0,2,0,1,2,34,31,-1,2,0,8,6,2,1,0,20,19,1,242,20
Ahsa2,15,0,169,0,0,9,1,0,2,154,15,9,0,1,1,4,2,34,28,2,1,0,8,7,1,1,0,20,19,1,242,20
Serpinh1,15,2,169,0,0,9,1,0,2,152,13,9,0,1,1,6,1,34,27,5,0,0,8,8,0,0,0,20,20,0,242,19
Cldn11,16,4,169,0,0,9,0,0,2,149,12,9,0,2,0,7,0,34,27,7,0,0,8,8,0,0,0,20,20,0,242,19
Arl9,28,17,169,1,0,9,0,0,2,124,11,8,1,2,0,9,2,34,23,7,1,1,8,6,0,0,0,20,20,0,242,19
Mt1,16,0,169,1,2,9,0,0,2,153,16,6,-1,2,0,5,2,34,27,3,0,0,8,8,0,1,0,20,19,1,242,19
Maff,20,1,169,0,0,9,0,0,2,148,19,9,0,2,0,1,2,34,31,-1,0,0,8,8,0,1,0,20,19,1,242,19
Krt6a,23,4,169,0,0,9,0,0,2,142,19,9,0,2,0,0,0,34,34,0,0,0,8,8,0,0,0,20,20,0,242,19
Ccl11,20,2,169,0,0,9,0,0,2,147,18,9,0,2,0,2,1,34,31,1,0,0,8,8,0,0,0,20,20,0,242,19
Defa24,21,2,169,0,0,9,0,0,2,146,19,9,0,2,0,0,0,34,34,0,0,0,8,8,0,0,0,20,20,0,242,19
Ism2,11,0,169,0,0,9,0,0,2,158,11,9,0,2,0,8,0,34,26,8,0,0,8,8,0,0,0,20,20,0,242,19
Nr4a3,20,4,169,0,0,9,0,0,2,145,16,9,0,2,0,4,1,34,29,3,0,0,8,8,0,0,0,20,20,0,242,19
Crybb3,16,3,169,0,0,9,0,0,2,150,13,9,0,2,0,8,2,34,24,6,0,0,8,8,0,0,0,20,20,0,242,19
Cldn4,18,6,169,0,0,9,0,0,2,145,12,9,0,2,0,6,0,34,28,6,0,0,8,8,0,1,0,20,19,1,242,19
Snap25,17,1,169,0,0,9,0,0,2,151,16,9,0,2,0,2,0,34,32,2,0,0,8,8,0,0,0,20,20,0,242,18
Mansc1,17,4,169,0,0,9,0,0,2,148,13,9,0,2,0,5,0,34,29,5,0,0,8,8,0,0,0,20,20,0,242,18
Oxt,30,16,169,0,0,9,0,0,2,123,14,9,0,2,0,4,1,34,29,3,1,0,8,7,1,0,0,20,20,0,242,18
Ubc,12,0,169,0,0,9,0,0,2,157,12,9,0,2,0,4,0,34,30,4,0,0,8,8,0,2,0,20,18,2,242,18
Gpr75,17,0,169,0,0,9,0,0,2,152,17,9,0,2,0,1,0,34,33,1,0,0,8,8,0,0,0,20,20,0,242,18
Lgals7,28,9,169,0,0,9,0,0,2,132,19,9,0,2,0,1,2,34,31,-1,0,0,8,8,0,0,0,20,20,0,242,18
Rhox8,20,5,169,0,0,9,0,0,2,144,15,9,0,2,0,9,8,34,17,1,0,0,8,8,0,2,0,20,18,2,242,18
Cd79a,20,3,169,0,0,9,0,0,2,146,17,9,0,2,0,1,1,34,32,0,1,0,8,7,1,0,0,20,20,0,242,18
S100a3,19,7,169,0,0,9,0,0,2,143,12,9,0,2,0,7,3,34,24,4,2,1,8,5,1,1,0,20,19,1,242,18
Rrad,23,4,169,0,0,9,0,0,2,142,19,9,0,2,0,2,3,34,29,-1,0,0,8,8,0,0,0,20,20,0,242,18
Ccer2,20,2,169,0,0,9,0,0,2,147,18,9,0,2,0,3,3,34,28,0,0,0,8,8,0,0,0,20,20,0,242,18
Kcnj14,15,4,169,0,0,9,0,0,2,150,11,9,0,2,0,7,0,34,27,7,0,0,8,8,0,0,0,20,20,0,242,18
Mndal,22,3,169,0,0,9,1,0,2,144,19,9,0,1,1,2,3,34,29,-1,0,1,8,7,-1,0,0,20,20,0,242,18
Adora2a,19,3,169,0,0,9,0,0,2,147,16,9,0,2,0,1,0,34,33,1,0,0,8,8,0,0,0,20,20,0,242,17
Saa1,26,12,169,0,0,9,0,0,2,131,14,9,0,2,0,3,0,34,31,3,0,0,8,8,0,0,0,20,20,0,242,17
P2rx7,14,3,169,0,0,9,0,0,2,152,11,9,0,2,0,7,1,34,26,6,0,0,8,8,0,0,0,20,20,0,242,17
Fgf17,8,3,169,0,0,9,0,0,2,158,5,9,0,2,0,12,0,34,22,12,0,0,8,8,0,0,0,20,20,0,242,17
Junb,20,2,169,0,0,9,0,0,2,147,18,9,0,2,0,0,3,34,31,-3,1,0,8,7,1,1,0,20,19,1,242,17
Muc13,17,1,169,0,0,9,0,0,2,151,16,9,0,2,0,1,0,34,33,1,0,0,8,8,0,0,0,20,20,0,242,17
Ighg2b,20,3,169,0,0,9,0,0,2,146,17,9,0,2,0,0,0,34,34,0,0,0,8,8,0,0,0,20,20,0,242,17
Cryab,14,0,169,0,0,9,0,0,2,155,14,9,0,2,0,3,2,34,29,1,1,0,8,7,1,1,0,20,19,1,242,17
Socs3,18,4,169,0,0,9,0,0,2,147,14,9,0,2,0,2,2,34,30,0,2,0,8,6,2,1,0,20,19,1,242,17
Arl5c,19,3,169,0,0,9,1,0,2,147,16,9,0,1,1,1,2,34,31,-1,0,0,8,8,0,1,0,20,19,1,242,17
Lcn2,22,5,169,0,0,9,0,0,2,142,17,9,0,2,0,0,3,34,31,-3,3,0,8,5,3,0,0,20,20,0,242,17
Gm21976,18,3,169,0,0,9,0,0,2,148,15,9,0,2,0,4,2,34,28,2,0,0,8,8,0,0,0,20,20,0,242,17
Mzb1,29,18,169,0,0,9,0,0,2,122,11,9,0,2,0,11,5,34,18,6,0,0,8,8,0,0,0,20,20,0,242,17
Cyp2d40,13,1,169,0,0,9,0,0,2,155,12,9,0,2,0,5,0,34,29,5,0,0,8,8,0,0,0,20,20,0,242,17
Il10,13,4,169,0,0,9,0,0,2,152,9,9,0,2,0,8,0,34,26,8,0,0,8,8,0,0,0,20,20,0,242,17
Gm6169,28,13,169,0,0,9,1,0,2,128,15,9,0,1,1,0,0,34,34,0,1,0,8,7,1,1,1,20,18,0,242,17
Banp,12,0,169,0,0,9,0,0,2,157,12,9,0,2,0,4,2,34,28,2,1,0,8,7,1,1,0,20,19,1,242,16
Gm45234,34,12,169,0,0,9,0,1,2,123,22,9,0,1,-1,0,5,34,29,-5,2,1,8,5,1,0,1,20,19,-1,242,16
Cplx3,16,4,169,0,0,9,0,0,2,149,12,9,0,2,0,6,3,34,25,3,1,0,8,7,1,0,0,20,20,0,242,16
Mpo,13,5,169,0,0,9,0,0,2,151,8,9,0,2,0,6,1,34,27,5,2,0,8,6,2,1,0,20,19,1,242,16
Gadd45g,19,2,169,0,0,9,0,0,2,148,17,9,0,2,0,1,1,34,32,0,0,0,8,8,0,0,1,20,19,-1,242,16
Mpzl2,18,1,169,0,0,9,0,0,2,150,17,9,0,2,0,0,1,34,33,-1,0,0,8,8,0,0,0,20,20,0,242,16
Tex43,26,7,169,0,0,9,0,0,2,136,19,9,0,2,0,4,7,34,23,-3,0,0,8,8,0,0,0,20,20,0,242,16
Avp,24,9,169,0,0,9,0,0,2,136,15,9,0,2,0,1,0,34,33,1,0,0,8,8,0,0,0,20,20,0,242,16
Rbmy,18,2,169,0,0,9,0,0,2,149,16,9,0,2,0,0,0,34,34,0,0,0,8,8,0,0,0,20,20,0,242,16
Tmem252,14,0,169,0,0,9,0,0,2,155,14,9,0,2,0,2,0,34,32,2,0,0,8,8,0,0,0,20,20,0,242,16
Ptcra,17,6,169,0,0,9,2,0,2,146,11,9,0,0,2,0,1,34,33,-1,1,0,8,7,1,3,0,20,17,3,242,16
Igfbp3,16,0,169,0,0,9,0,0,2,153,16,9,0,2,0,0,0,34,34,0,0,0,8,8,0,0,0,20,20,0,242,16
Pin1rt1,29,9,169,0,0,9,0,0,2,131,20,9,0,2,0,0,3,34,31,-3,0,0,8,8,0,1,2,20,17,-1,242,16
H4c18,21,10,169,0,0,9,0,0,2,138,11,9,0,2,0,8,2,34,24,6,0,0,8,8,0,1,2,20,17,-1,242,16
Slc5a5,14,0,169,0,0,9,0,0,2,155,14,9,0,2,0,3,2,34,29,1,1,0,8,7,1,0,0,20,20,0,242,16
Trpc2,11,4,169,0,0,9,0,0,2,154,7,9,0,2,0,9,0,34,25,9,0,0,8,8,0,0,0,20,20,0,242,16
Elf3,18,3,169,0,0,9,0,0,2,148,15,9,0,2,0,0,0,34,34,0,0,0,8,8,0,1,0,20,19,1,242,16
Hsd17b1,18,1,169,0,0,9,0,0,2,150,17,9,0,2,0,1,3,34,30,-2,1,0,8,7,1,0,0,20,20,0,242,16
Hrk,16,1,169,0,0,9,0,0,2,152,15,9,0,2,0,1,0,34,33,1,0,0,8,8,0,0,0,20,20,0,242,16
Gm38999,21,6,169,0,0,9,0,0,2,142,15,9,0,2,0,0,0,34,34,0,0,0,8,8,0,1,0,20,19,1,242,16
Ly6g6d,15,6,169,0,0,9,0,0,2,148,9,9,0,2,0,6,0,34,28,6,1,0,8,7,1,0,0,20,20,0,242,16
Gm5741,36,20,169,0,0,9,0,0,2,113,16,9,0,2,0,4,4,34,26,0,0,0,8,8,0,0,0,20,20,0,242,16
AF366264,20,1,169,0,0,9,0,0,2,148,19,9,0,2,0,1,4,34,29,-3,0,0,8,8,0,0,0,20,20,0,242,16
H3c8,28,8,169,0,0,9,0,0,2,133,20,9,0,2,0,4,7,34,23,-3,0,0,8,8,0,1,2,20,17,-1,242,16
Myocos,16,6,169,0,0,9,0,0,2,147,10,9,0,2,0,6,0,34,28,6,0,0,8,8,0,0,0,20,20,0,242,16
Best3,13,2,169,0,0,9,0,0,2,154,11,9,0,2,0,5,0,34,29,5,0,0,8,8,0,0,0,20,20,0,242,16
Spry4,14,2,169,0,0,9,0,0,2,153,12,9,0,2,0,3,1,34,30,2,2,0,8,6,2,0,0,20,20,0,242,16
Actc1,21,2,169,0,0,9,0,0,2,146,19,9,0,2,0,0,3,34,31,-3,0,0,8,8,0,0,0,20,20,0,242,16
Asns,14,0,169,0,0,9,0,0,2,155,14,9,0,2,0,3,2,34,29,1,0,0,8,8,0,1,0,20,19,1,242,16
Apoc3,16,8,169,0,0,9,0,0,2,145,8,9,0,2,0,8,1,34,25,7,0,0,8,8,0,0,0,20,20,0,242,15
Fermt3,16,2,169,0,0,9,0,0,2,151,14,9,0,2,0,4,4,34,26,0,1,0,8,7,1,0,0,20,20,0,242,15
Btg2,18,3,169,0,0,9,0,0,2,148,15,9,0,2,0,1,1,34,32,0,0,0,8,8,0,0,0,20,20,0,242,15
Apoc1,21,7,169,0,0,9,0,0,2,141,14,9,0,2,0,4,4,34,26,0,0,0,8,8,0,1,0,20,19,1,242,15
Gm10720,18,4,169,0,0,9,0,0,2,147,14,9,0,2,0,3,3,34,28,0,1,0,8,7,1,0,0,20,20,0,242,15
Bglap,32,18,169,0,0,9,0,0,2,119,14,9,0,2,0,4,3,34,27,1,0,0,8,8,0,0,0,20,20,0,242,15
Gm3376,17,2,169,0,0,9,0,0,2,150,15,9,0,2,0,0,0,34,34,0,0,0,8,8,0,0,0,20,20,0,242,15
Nme5,15,6,169,0,0,9,0,0,2,148,9,9,0,2,0,8,3,34,23,5,1,0,8,7,1,0,0,20,20,0,242,15
Cabp5,9,2,169,0,0,9,0,0,2,158,7,9,0,2,0,8,0,34,26,8,0,0,8,8,0,0,0,20,20,0,242,15
Ighg2c,21,6,169,0,0,9,0,0,2,142,15,9,0,2,0,0,0,34,34,0,0,0,8,8,0,0,0,20,20,0,242,15
Gm10800,32,15,169,0,0,9,0,1,2,122,17,9,0,1,-1,4,6,34,24,-2,0,0,8,8,0,1,0,20,19,1,242,15
Gm10801,29,12,169,0,2,9,0,0,2,128,17,7,-2,2,0,7,9,34,18,-2,3,1,8,4,2,0,0,20,20,0,242,15
Ifi205,22,9,169,0,0,9,0,0,2,138,13,9,0,2,0,1,0,34,33,1,1,0,8,7,1,0,0,20,20,0,242,15
P4ha1,17,0,169,0,0,9,0,0,2,152,17,9,0,2,0,0,4,34,30,-4,0,0,8,8,0,2,0,20,18,2,242,15
Gm28035,17,6,169,0,0,9,1,0,2,146,11,9,0,1,1,2,0,34,32,2,2,1,8,5,1,0,0,20,20,0,242,15
Hmgcs2,19,3,169,0,0,9,0,0,2,147,16,9,0,2,0,1,2,34,31,-1,0,0,8,8,0,0,0,20,20,0,242,15
Ccdc194,14,4,169,0,0,9,0,0,2,151,10,9,0,2,0,6,1,34,27,5,0,0,8,8,0,0,0,20,20,0,242,15
Fthl17c,17,2,169,0,0,9,0,0,2,150,15,9,0,2,0,0,0,34,34,0,0,0,8,8,0,0,0,20,20,0,242,15
Crygs,19,2,169,0,0,9,0,0,2,148,17,9,0,2,0,1,3,34,30,-2,0,0,8,8,0,0,0,20,20,0,242,15
Xlr5b,21,6,169,0,0,9,0,0,2,142,15,9,0,2,0,0,0,34,34,0,0,0,8,8,0,0,0,20,20,0,242,15
Psca,17,11,169,0,0,9,0,0,2,141,6,9,0,2,0,6,0,34,28,6,1,0,8,7,1,2,0,20,18,2,242,15
Cldn7,24,2,169,0,0,9,0,0,2,143,22,9,0,2,0,0,7,34,27,-7,0,0,8,8,0,0,0,20,20,0,242,15
Nmu,18,6,169,0,0,9,0,0,2,145,12,9,0,2,0,3,0,34,31,3,0,0,8,8,0,0,0,20,20,0,242,15
Retn,23,10,169,0,0,9,0,0,2,136,13,9,0,2,0,4,4,34,26,0,1,0,8,7,1,1,0,20,19,1,242,15
Iqcn,11,0,169,0,0,9,0,0,2,158,11,9,0,2,0,4,0,34,30,4,0,0,8,8,0,0,0,20,20,0,242,15
Hmox1,10,0,169,0,0,9,1,0,2,159,10,9,0,1,1,3,1,34,30,2,1,0,8,7,1,0,0,20,20,0,242,14
Id1,11,4,169,0,0,9,0,0,2,154,7,9,0,2,0,5,2,34,27,3,0,0,8,8,0,4,0,20,16,4,242,14
Hspe1-rs1,36,16,169,0,0,9,0,0,2,117,20,9,0,2,0,4,10,34,20,-6,0,0,8,8,0,1,1,20,18,0,242,14
Havcr1,16,2,169,0,0,9,0,0,2,151,14,9,0,2,0,0,0,34,34,0,0,0,8,8,0,0,0,20,20,0,242,14
Parvg,13,6,169,0,0,9,0,0,2,150,7,9,0,2,0,7,1,34,26,6,1,0,8,7,1,0,0,20,20,0,242,14
A3galt2,18,3,169,0,0,9,0,0,2,148,15,9,0,2,0,0,1,34,33,-1,0,0,8,8,0,0,0,20,20,0,242,14
Hhatl,14,9,169,0,0,9,0,0,2,146,5,9,0,2,0,9,0,34,25,9,0,0,8,8,0,0,0,20,20,0,242,14
Tnfrsf12a,19,2,169,0,0,9,0,0,2,148,17,9,0,2,0,0,3,34,31,-3,0,0,8,8,0,0,0,20,20,0,242,14
Defb19,19,7,169,0,0,9,0,0,2,143,12,9,0,2,0,2,0,34,32,2,0,0,8,8,0,0,0,20,20,0,242,14
Nr0b2,15,2,169,0,0,9,0,0,2,152,13,9,0,2,0,2,1,34,31,1,0,0,8,8,0,0,0,20,20,0,242,14
Fut1,16,5,169,0,0,9,0,0,2,148,11,9,0,2,0,3,0,34,31,3,0,0,8,8,0,0,0,20,20,0,242,14
Gal,12,1,169,0,0,9,0,0,2,156,11,9,0,2,0,4,1,34,29,3,0,0,8,8,0,0,0,20,20,0,242,14
Nat8f7,16,8,169,0,0,9,0,0,2,145,8,9,0,2,0,7,1,34,26,6,0,0,8,8,0,0,0,20,20,0,242,14
Ramp3,17,3,169,0,0,9,0,0,2,149,14,9,0,2,0,0,1,34,33,-1,3,0,8,5,3,0,2,20,18,-2,242,14
Vpreb1,28,13,169,0,0,9,1,0,2,128,15,9,0,1,1,1,3,34,30,-2,0,0,8,8,0,0,0,20,20,0,242,14
Spon2,16,3,169,0,0,9,1,0,2,150,13,9,0,1,1,0,0,34,34,0,0,0,8,8,0,0,0,20,20,0,242,14
1700007K13Rik,19,11,169,0,0,9,0,0,2,139,8,9,0,2,0,6,0,34,28,6,0,0,8,8,0,0,0,20,20,0,242,14
Krtap3-2,12,1,169,0,0,9,0,0,2,156,11,9,0,2,0,3,0,34,31,3,0,0,8,8,0,0,0,20,20,0,242,14
