GeneName,RNA-seq-up,RNA-seq-down,RNA-seq-all,miRNA-seq-up,miRNA-seq-down,miRNA-seq-all,ncRNA-seq-up,ncRNA-seq-down,ncRNA-seq-all,unchange_RNA-seq,HN5_RNA-seq,unchange_miRNA-seq,HN5_miRNA-seq,unchange_ncRNA-seq,HN5_ncRNA-seq,PRO-seq-up,PRO-seq-down,PRO-seq-all,unchange_PRO-seq,HN5_PRO-seq,Timelapse-seq-up,Timelapse-seq-down,Timelapse-seq-all,unchange_Timelapse-seq,HN5_Timelapse-seq,Ribo-seq-up,Ribo-seq-down,Ribo-seq-all,unchange_Ribo-seq,HN5_Ribo-seq,all(check),Total_HN-score
Galnt9,2,8,169,0,0,9,0,0,2,159,-6,9,0,2,0,1,0,34,33,1,0,0,8,8,0,0,0,20,20,0,242,-5
Ccp110,2,0,169,0,0,9,0,0,2,167,2,9,0,2,0,0,7,34,27,-7,0,0,8,8,0,0,0,20,20,0,242,-5
Tex24,0,4,169,0,1,9,0,0,2,165,-4,8,-1,2,0,0,0,34,34,0,0,0,8,8,0,0,0,20,20,0,242,-5
Tab3,5,2,169,0,0,9,0,0,2,162,3,9,0,2,0,0,6,34,28,-6,1,0,8,7,1,0,3,20,17,-3,242,-5
Tac1,4,9,169,0,0,9,0,0,2,156,-5,9,0,2,0,0,0,34,34,0,0,0,8,8,0,0,0,20,20,0,242,-5
Galnt17,0,3,169,0,0,9,0,0,2,166,-3,9,0,2,0,0,2,34,32,-2,0,0,8,8,0,0,0,20,20,0,242,-5
Galnt16,7,5,169,0,0,9,0,0,2,157,2,9,0,2,0,2,10,34,22,-8,1,0,8,7,1,0,0,20,20,0,242,-5
Ucp1,8,13,169,0,0,9,0,0,2,148,-5,9,0,2,0,1,1,34,32,0,0,0,8,8,0,0,0,20,20,0,242,-5
Keap1,2,0,169,0,0,9,1,0,2,167,2,9,0,1,1,0,7,34,27,-7,0,0,8,8,0,0,1,20,19,-1,242,-5
Sdhaf1,2,2,169,0,0,9,0,0,2,165,0,9,0,2,0,0,5,34,29,-5,0,0,8,8,0,0,0,20,20,0,242,-5
Tacc3,2,1,169,0,0,9,0,0,2,166,1,9,0,2,0,0,6,34,28,-6,0,0,8,8,0,0,0,20,20,0,242,-5
Ufd1,3,0,169,0,0,9,1,0,2,166,3,9,0,1,1,0,8,34,26,-8,0,0,8,8,0,0,1,20,19,-1,242,-5
Ccn4,2,3,169,0,0,9,0,0,2,164,-1,9,0,2,0,0,3,34,31,-3,0,0,8,8,0,0,1,20,19,-1,242,-5
Kif1c,2,0,169,0,0,9,0,0,2,167,2,9,0,2,0,0,6,34,28,-6,0,0,8,8,0,0,1,20,19,-1,242,-5
Tada1,2,1,169,0,0,9,0,0,2,166,1,9,0,2,0,0,4,34,30,-4,0,0,8,8,0,0,2,20,18,-2,242,-5
Ccdc90b,2,1,169,0,0,9,1,0,2,166,1,9,0,1,1,1,7,34,26,-6,0,0,8,8,0,0,1,20,19,-1,242,-5
Ccdc9,2,0,169,0,0,9,1,0,2,167,2,9,0,1,1,2,9,34,23,-7,0,0,8,8,0,0,1,20,19,-1,242,-5
Kif2a,4,3,169,0,0,9,0,0,2,162,1,9,0,2,0,0,5,34,29,-5,0,0,8,8,0,0,1,20,19,-1,242,-5
Tada2b,2,3,169,0,0,9,0,0,2,164,-1,9,0,2,0,0,3,34,31,-3,0,0,8,8,0,0,1,20,19,-1,242,-5
Gad1,1,6,169,0,0,9,0,0,2,162,-5,9,0,2,0,0,0,34,34,0,0,0,8,8,0,0,0,20,20,0,242,-5
Igkv9-120,8,13,169,0,0,9,0,0,2,148,-5,9,0,2,0,0,0,34,34,0,0,0,8,8,0,0,0,20,20,0,242,-5
Dgkq,3,3,169,0,0,9,0,0,2,163,0,9,0,2,0,0,5,34,29,-5,0,0,8,8,0,0,0,20,20,0,242,-5
Entpd5,2,1,169,0,0,9,0,0,2,166,1,9,0,2,0,0,5,34,29,-5,0,0,8,8,0,0,1,20,19,-1,242,-5
Dsg1b,4,7,169,0,0,9,0,0,2,158,-3,9,0,2,0,0,2,34,32,-2,0,0,8,8,0,0,0,20,20,0,242,-5
