GeneName,RNA-seq-up,RNA-seq-down,RNA-seq-all,SLAM-seq-up,SLAM-seq-down,SLAM-seq-all,TTchem-seq-up,TTchem-seq-down,TTchem-seq-all,TT-seq-up,TT-seq-down,TT-seq-all,4sU-seq-up,4sU-seq-down,4sU-seq-all,MeRIP-seq-up,MeRIP-seq-down,MeRIP-seq-all,m1A-seq-up,m1A-seq-down,m1A-seq-all,Ribo-seq-up,Ribo-seq-down,Ribo-seq-all,m6Am-seq-up,m6Am-seq-down,m6Am-seq-all,mNET-seq-up,mNET-seq-down,mNET-seq-all,PRO-seq-up,PRO-seq-down,PRO-seq-all,all(check),all,unchange_RNA-seq,HN5_RNA-seq,unchange_SLAM-seq,HN5_SLAM-seq,unchange_TTchem-seq,HN5_TTchem-seq,unchange_TT-seq,HN5_TT-seq,unchange_4sU-seq,HN5_4sU-seq,unchange_MeRIP-seq,HN5_MeRIP-seq,unchange_m1A-seq,HN5_m1A-seq,unchange_Ribo-seq,HN5_Ribo-seq,unchange_m6Am-seq,HN5_m6Am-seq,unchange_mNET-seq,HN5_mNET-seq,unchange_PRO-seq,HN5_PRO-seq,Total_HN-score
LDHAL6B,10,1,192,0,0,11,1,3,34,0,0,8,3,2,31,0,0,3,1,0,2,0,0,6,0,0,7,0,0,4,1,0,24,322,322,181,9,11,0,30,-2,8,0,26,1,3,0,1,1,6,0,7,0,4,0,23,1,10
LRCH4,10,4,192,3,0,11,0,0,34,0,0,8,1,0,31,0,0,3,0,0,2,0,0,6,0,0,7,0,0,4,0,0,24,322,322,178,6,8,3,34,0,8,0,30,1,3,0,2,0,6,0,7,0,4,0,24,0,10
MBD3L2,8,2,192,0,0,11,0,0,34,0,0,8,4,0,31,0,0,3,0,0,2,0,0,6,0,0,7,0,0,4,1,1,24,322,322,182,6,11,0,34,0,8,0,27,4,3,0,2,0,6,0,7,0,4,0,22,0,10
MBD3,7,2,192,3,0,11,0,0,34,0,0,8,0,0,31,0,0,3,1,0,2,1,0,6,0,0,7,0,0,4,0,0,24,322,322,183,5,8,3,34,0,8,0,31,0,3,0,1,1,5,1,7,0,4,0,24,0,10
FCMR,3,3,192,0,1,11,1,0,34,4,0,8,3,0,31,0,0,3,0,0,2,0,0,6,2,0,7,0,0,4,1,0,24,322,322,186,0,10,-1,33,1,4,4,28,3,3,0,2,0,6,0,5,2,4,0,23,1,10
ATM,6,0,192,1,0,11,3,3,34,0,0,8,4,2,31,0,0,3,1,0,2,0,0,6,0,0,7,0,0,4,0,0,24,322,322,186,6,10,1,28,0,8,0,25,2,3,0,1,1,6,0,7,0,4,0,24,0,10
GGT7,10,3,192,0,0,11,4,1,34,0,0,8,2,4,31,0,0,3,0,0,2,0,0,6,0,0,7,0,0,4,2,0,24,322,322,179,7,11,0,29,3,8,0,25,-2,3,0,2,0,6,0,7,0,4,0,22,2,10
CCAR1,11,1,192,0,0,11,0,0,34,0,0,8,0,0,31,0,0,3,0,0,2,0,0,6,0,0,7,0,0,4,0,0,24,322,322,180,10,11,0,34,0,8,0,31,0,3,0,2,0,6,0,7,0,4,0,24,0,10
ZNF385C,3,2,192,0,0,11,4,4,34,0,0,8,7,2,31,0,0,3,1,0,2,0,0,6,0,0,7,0,0,4,3,0,24,322,322,187,1,11,0,26,0,8,0,22,5,3,0,1,1,6,0,7,0,4,0,21,3,10
MINK1,11,0,192,0,0,11,0,1,34,0,0,8,0,0,31,0,0,3,0,0,2,0,0,6,0,0,7,0,0,4,0,0,24,322,322,181,11,11,0,33,-1,8,0,31,0,3,0,2,0,6,0,7,0,4,0,24,0,10
LCNL1,3,4,192,0,0,11,0,0,34,0,0,8,8,0,31,0,0,3,2,0,2,0,0,6,0,0,7,0,0,4,1,0,24,322,322,185,-1,11,0,34,0,8,0,23,8,3,0,0,2,6,0,7,0,4,0,23,1,10
CDC42EP3,9,4,192,0,0,11,3,0,34,0,0,8,0,0,31,0,0,3,1,0,2,0,0,6,0,0,7,0,0,4,1,0,24,322,322,179,5,11,0,31,3,8,0,31,0,3,0,1,1,6,0,7,0,4,0,23,1,10
RPS13,12,2,192,0,1,11,0,0,34,0,0,8,0,0,31,0,0,3,0,0,2,1,1,6,0,0,7,0,0,4,1,0,24,322,322,178,10,10,-1,34,0,8,0,31,0,3,0,2,0,4,0,7,0,4,0,23,1,10
TGM2,5,1,192,0,0,11,4,0,34,0,0,8,1,0,31,0,0,3,0,0,2,1,0,6,0,1,7,0,0,4,1,0,24,322,322,186,4,11,0,30,4,8,0,30,1,3,0,2,0,5,1,6,-1,4,0,23,1,10
GABARAPL1,9,1,192,0,0,11,0,0,34,0,0,8,0,0,31,0,0,3,1,0,2,0,0,6,0,0,7,0,0,4,1,0,24,322,322,182,8,11,0,34,0,8,0,31,0,3,0,1,1,6,0,7,0,4,0,23,1,10
ABHD14A,11,5,192,0,0,11,0,0,34,0,0,8,6,2,31,0,0,3,0,0,2,0,0,6,0,1,7,0,0,4,2,1,24,322,322,176,6,11,0,34,0,8,0,23,4,3,0,2,0,6,0,6,-1,4,0,21,1,10
ZNF408,6,2,192,1,0,11,2,0,34,0,0,8,2,0,31,0,0,3,1,0,2,0,0,6,0,0,7,0,0,4,0,0,24,322,322,184,4,10,1,32,2,8,0,29,2,3,0,1,1,6,0,7,0,4,0,24,0,10
RUNX3,5,2,192,0,0,11,0,0,34,0,0,8,4,2,31,2,0,3,1,0,2,0,0,6,0,0,7,0,0,4,2,0,24,322,322,185,3,11,0,34,0,8,0,25,2,1,2,1,1,6,0,7,0,4,0,22,2,10
MGAT1,9,1,192,1,0,11,1,0,34,0,0,8,0,0,31,0,0,3,0,0,2,0,0,6,0,0,7,0,0,4,0,0,24,322,322,182,8,10,1,33,1,8,0,31,0,3,0,2,0,6,0,7,0,4,0,24,0,10
CBX5,8,0,192,0,0,11,0,0,34,0,0,8,0,0,31,0,0,3,1,0,2,1,0,6,0,0,7,0,0,4,0,0,24,322,322,184,8,11,0,34,0,8,0,31,0,3,0,1,1,5,1,7,0,4,0,24,0,10
DDX6,8,0,192,1,0,11,0,0,34,0,0,8,0,0,31,0,0,3,1,0,2,0,0,6,0,0,7,0,0,4,0,0,24,322,322,184,8,10,1,34,0,8,0,31,0,3,0,1,1,6,0,7,0,4,0,24,0,10
TFAM,6,0,192,0,0,11,2,0,34,0,0,8,0,0,31,0,0,3,1,0,2,1,0,6,0,0,7,0,0,4,0,0,24,322,322,186,6,11,0,32,2,8,0,31,0,3,0,1,1,5,1,7,0,4,0,24,0,10
RAB5B,9,2,192,1,0,11,0,0,34,0,0,8,0,0,31,0,0,3,1,0,2,1,0,6,0,0,7,0,0,4,0,0,24,322,322,181,7,10,1,34,0,8,0,31,0,3,0,1,1,5,1,7,0,4,0,24,0,10
GALNT8,10,5,192,0,0,11,1,0,34,0,0,8,3,0,31,0,0,3,0,0,2,0,0,6,0,1,7,2,0,4,0,0,24,322,322,177,5,11,0,33,1,8,0,28,3,3,0,2,0,6,0,6,-1,2,2,24,0,10
ARHGEF11,9,0,192,0,0,11,0,0,34,0,0,8,0,0,31,0,0,3,1,0,2,0,0,6,0,0,7,0,0,4,0,0,24,322,322,183,9,11,0,34,0,8,0,31,0,3,0,1,1,6,0,7,0,4,0,24,0,10
TMPRSS11B,4,0,192,0,0,11,3,0,34,0,0,8,3,0,31,0,0,3,1,0,2,0,0,6,0,0,7,0,0,4,0,1,24,322,322,188,4,11,0,31,3,8,0,28,3,3,0,1,1,6,0,7,0,4,0,23,-1,10
ARF4,11,0,192,0,1,11,0,0,34,0,0,8,0,0,31,0,0,3,0,0,2,0,0,6,0,0,7,0,0,4,0,0,24,322,322,181,11,10,-1,34,0,8,0,31,0,3,0,2,0,6,0,7,0,4,0,24,0,10
ASMT,7,5,192,1,0,11,2,0,34,0,0,8,5,0,31,0,0,3,0,0,2,0,0,6,0,0,7,0,0,4,0,0,24,322,322,180,2,10,1,32,2,8,0,26,5,3,0,2,0,6,0,7,0,4,0,24,0,10
KLRC2,15,7,192,0,0,11,1,2,34,1,0,8,4,0,31,0,0,3,1,0,2,0,0,6,0,2,7,2,0,4,0,3,24,322,322,170,8,11,0,31,-1,7,1,27,4,3,0,1,1,6,0,5,-2,2,2,21,-3,10
ATG4A,3,2,192,0,1,11,3,0,34,0,0,8,5,0,31,0,0,3,0,0,2,0,0,6,0,0,7,0,0,4,3,1,24,322,322,187,1,10,-1,31,3,8,0,26,5,3,0,2,0,6,0,7,0,4,0,20,2,10
TMTC2,8,0,192,0,0,11,1,0,34,0,0,8,1,0,31,0,0,3,0,0,2,0,0,6,0,0,7,0,0,4,0,0,24,322,322,184,8,11,0,33,1,8,0,30,1,3,0,2,0,6,0,7,0,4,0,24,0,10
ASIC4,5,1,192,0,0,11,1,2,34,0,0,8,6,0,31,0,0,3,1,0,2,0,0,6,0,0,7,0,0,4,0,0,24,322,322,186,4,11,0,31,-1,8,0,25,6,3,0,1,1,6,0,7,0,4,0,24,0,10
LDLRAD3,10,1,192,0,0,11,0,0,34,0,0,8,0,0,31,0,0,3,1,0,2,0,0,6,0,0,7,0,0,4,0,0,24,322,322,181,9,11,0,34,0,8,0,31,0,3,0,1,1,6,0,7,0,4,0,24,0,10
DIP2B,9,0,192,0,0,11,0,0,34,0,0,8,0,0,31,0,0,3,1,0,2,0,0,6,0,0,7,0,0,4,0,0,24,322,322,183,9,11,0,34,0,8,0,31,0,3,0,1,1,6,0,7,0,4,0,24,0,10
FGD6,6,1,192,0,0,11,3,0,34,0,0,8,0,0,31,0,0,3,1,0,2,0,0,6,0,0,7,0,0,4,1,0,24,322,322,185,5,11,0,31,3,8,0,31,0,3,0,1,1,6,0,7,0,4,0,23,1,10
RP9,7,1,192,0,1,11,1,0,34,0,0,8,2,1,31,0,0,3,1,0,2,2,0,6,0,0,7,0,0,4,1,1,24,322,322,184,6,10,-1,33,1,8,0,28,1,3,0,1,1,4,2,7,0,4,0,22,0,10
TMEM123,9,0,192,1,0,11,0,0,34,0,0,8,0,0,31,0,0,3,0,0,2,0,0,6,0,0,7,0,0,4,0,0,24,322,322,183,9,10,1,34,0,8,0,31,0,3,0,2,0,6,0,7,0,4,0,24,0,10
ACTN2,11,1,192,0,0,11,1,1,34,0,0,8,0,0,31,0,0,3,0,0,2,0,0,6,0,0,7,0,0,4,0,0,24,322,322,180,10,11,0,32,0,8,0,31,0,3,0,2,0,6,0,7,0,4,0,24,0,10
ARL 6.00,6,5,192,0,0,11,4,0,34,0,0,8,2,1,31,0,0,3,0,0,2,0,0,6,0,0,7,0,0,4,4,0,24,322,322,181,1,11,0,30,4,8,0,28,1,3,0,2,0,6,0,7,0,4,0,20,4,10
SDHD,9,2,192,1,0,11,0,0,34,0,0,8,2,0,31,0,0,3,0,0,2,0,0,6,0,0,7,0,0,4,1,1,24,322,322,181,7,10,1,34,0,8,0,29,2,3,0,2,0,6,0,7,0,4,0,22,0,10
TMEM120A,9,1,192,0,0,11,1,0,34,0,0,8,1,0,31,0,0,3,0,0,2,0,0,6,0,0,7,0,0,4,0,0,24,322,322,182,8,11,0,33,1,8,0,30,1,3,0,2,0,6,0,7,0,4,0,24,0,10
ZDHHC3,8,0,192,0,0,11,0,0,34,0,0,8,0,0,31,0,0,3,1,0,2,0,0,6,0,0,7,0,0,4,1,0,24,322,322,184,8,11,0,34,0,8,0,31,0,3,0,1,1,6,0,7,0,4,0,23,1,10
CALM2,9,1,192,0,0,11,0,0,34,0,0,8,0,0,31,0,0,3,0,0,2,2,0,6,0,0,7,0,0,4,0,0,24,322,322,182,8,11,0,34,0,8,0,31,0,3,0,2,0,4,2,7,0,4,0,24,0,10
TPM2,9,0,192,0,0,11,0,0,34,1,1,8,0,0,31,0,0,3,0,0,2,0,0,6,0,0,7,0,0,4,1,0,24,322,322,183,9,11,0,34,0,6,0,31,0,3,0,2,0,6,0,7,0,4,0,23,1,10
PSAT1,11,1,192,0,0,11,0,0,34,0,0,8,0,0,31,0,0,3,1,0,2,0,0,6,0,0,7,0,0,4,0,1,24,322,322,180,10,11,0,34,0,8,0,31,0,3,0,1,1,6,0,7,0,4,0,23,-1,10
ZDHHC11B,6,0,192,0,0,11,1,0,34,0,0,8,0,0,31,0,0,3,1,0,2,0,0,6,0,1,7,0,0,4,4,1,24,322,322,186,6,11,0,33,1,8,0,31,0,3,0,1,1,6,0,6,-1,4,0,19,3,10
RNF122,7,0,192,0,0,11,2,0,34,0,0,8,2,1,31,0,0,3,0,0,2,0,0,6,0,0,7,0,0,4,0,0,24,322,322,185,7,11,0,32,2,8,0,28,1,3,0,2,0,6,0,7,0,4,0,24,0,10
APOBEC3A,15,7,192,1,0,11,1,0,34,0,0,8,1,0,31,0,1,3,1,0,2,0,0,6,0,1,7,0,0,4,1,1,24,322,322,170,8,10,1,33,1,8,0,30,1,2,-1,1,1,6,0,6,-1,4,0,22,0,10
PSG4,9,6,192,0,1,11,7,1,34,0,0,8,2,3,31,0,0,3,1,0,2,0,0,6,1,0,7,0,0,4,1,0,24,322,322,177,3,10,-1,26,6,8,0,26,-1,3,0,1,1,6,0,6,1,4,0,23,1,10
ZCCHC14,9,1,192,0,0,11,2,1,34,0,0,8,0,0,31,0,0,3,1,0,2,0,0,6,0,0,7,0,0,4,0,0,24,322,322,182,8,11,0,31,1,8,0,31,0,3,0,1,1,6,0,7,0,4,0,24,0,10
DLL4,13,2,192,0,0,11,2,0,34,0,0,8,5,8,31,0,0,3,0,0,2,0,0,6,0,1,7,0,0,4,1,0,24,322,322,177,11,11,0,32,2,8,0,18,-3,3,0,2,0,6,0,6,-1,4,0,23,1,10
DNAAF4,6,1,192,1,0,11,0,0,34,0,0,8,3,0,31,0,0,3,1,0,2,0,0,6,0,0,7,0,0,4,1,1,24,322,322,185,5,10,1,34,0,8,0,28,3,3,0,1,1,6,0,7,0,4,0,22,0,10
CDYL,8,0,192,1,0,11,0,0,34,0,0,8,0,0,31,0,0,3,1,0,2,0,0,6,0,0,7,0,0,4,0,0,24,322,322,184,8,10,1,34,0,8,0,31,0,3,0,1,1,6,0,7,0,4,0,24,0,10
MRPS24,13,3,192,1,0,11,0,0,34,0,0,8,0,1,31,0,0,3,0,0,2,0,0,6,0,0,7,0,0,4,0,0,24,322,322,176,10,10,1,34,0,8,0,30,-1,3,0,2,0,6,0,7,0,4,0,24,0,10
DUSP8,8,0,192,0,0,11,1,0,34,0,0,8,0,0,31,0,0,3,1,0,2,0,0,6,0,0,7,0,0,4,0,0,24,322,322,184,8,11,0,33,1,8,0,31,0,3,0,1,1,6,0,7,0,4,0,24,0,10
SCGB1C1,2,4,192,0,0,11,0,0,34,0,0,8,6,1,31,1,0,3,2,0,2,0,0,6,0,0,7,0,0,4,4,0,24,322,322,186,-2,11,0,34,0,8,0,24,5,2,1,0,2,6,0,7,0,4,0,20,4,10
KRT86,3,0,192,2,1,11,1,1,34,0,0,8,4,0,31,0,0,3,1,0,2,0,0,6,0,0,7,1,0,4,0,0,24,322,322,189,3,8,1,32,0,8,0,27,4,3,0,1,1,6,0,7,0,3,1,24,0,10
GOLPH3L,4,1,192,1,0,11,2,0,34,0,0,8,2,0,31,0,0,3,1,0,2,0,0,6,0,0,7,0,0,4,1,0,24,322,322,187,3,10,1,32,2,8,0,29,2,3,0,1,1,6,0,7,0,4,0,23,1,10
FOXP2,13,5,192,0,0,11,1,0,34,0,0,8,0,0,31,0,0,3,0,0,2,1,0,6,0,0,7,0,0,4,0,0,24,322,322,174,8,11,0,33,1,8,0,31,0,3,0,2,0,5,1,7,0,4,0,24,0,10
CEMIP2,6,0,192,0,0,11,2,0,34,0,0,8,2,1,31,0,0,3,1,0,2,0,0,6,0,0,7,0,0,4,0,0,24,322,322,186,6,11,0,32,2,8,0,28,1,3,0,1,1,6,0,7,0,4,0,24,0,10
CCDC169-SOHLH2,11,3,192,0,0,11,0,0,34,0,0,8,2,0,31,0,0,3,0,0,2,0,0,6,0,0,7,0,0,4,1,1,24,322,322,178,8,11,0,34,0,8,0,29,2,3,0,2,0,6,0,7,0,4,0,22,0,10
MRPL19,12,3,192,1,1,11,0,0,34,0,0,8,0,0,31,0,0,3,0,0,2,1,1,6,0,0,7,0,0,4,1,0,24,322,322,177,9,9,0,34,0,8,0,31,0,3,0,2,0,4,0,7,0,4,0,23,1,10
AATF,9,0,192,0,0,11,0,0,34,0,0,8,0,0,31,0,0,3,1,0,2,0,0,6,0,0,7,0,0,4,0,0,24,322,322,183,9,11,0,34,0,8,0,31,0,3,0,1,1,6,0,7,0,4,0,24,0,10
SCGN,8,2,192,0,0,11,1,0,34,0,0,8,1,0,31,0,0,3,0,0,2,0,0,6,0,0,7,1,0,4,1,0,24,322,322,182,6,11,0,33,1,8,0,30,1,3,0,2,0,6,0,7,0,3,1,23,1,10
SDHC,9,1,192,1,0,11,0,0,34,0,0,8,1,0,31,0,0,3,0,0,2,0,0,6,0,0,7,0,0,4,1,1,24,322,322,182,8,10,1,34,0,8,0,30,1,3,0,2,0,6,0,7,0,4,0,22,0,10
MRPL52,9,2,192,0,0,11,1,0,34,0,0,8,1,0,31,0,0,3,1,0,2,1,1,6,0,0,7,0,0,4,0,0,24,322,322,181,7,11,0,33,1,8,0,30,1,3,0,1,1,4,0,7,0,4,0,24,0,10
ATP6V0C,10,1,192,1,0,11,0,0,34,0,0,8,0,0,31,0,0,3,0,0,2,1,1,6,0,0,7,0,0,4,0,0,24,322,322,181,9,10,1,34,0,8,0,31,0,3,0,2,0,4,0,7,0,4,0,24,0,10
ATP6V0B,12,2,192,0,0,11,0,0,34,0,0,8,0,0,31,0,0,3,0,0,2,0,0,6,0,0,7,0,0,4,0,0,24,322,322,178,10,11,0,34,0,8,0,31,0,3,0,2,0,6,0,7,0,4,0,24,0,10
ARL17B,11,3,192,0,0,11,1,0,34,0,0,8,0,0,31,0,0,3,0,0,2,0,0,6,0,0,7,0,0,4,1,0,24,322,322,178,8,11,0,33,1,8,0,31,0,3,0,2,0,6,0,7,0,4,0,23,1,10
SCRN1,13,0,192,0,1,11,0,2,34,0,0,8,0,0,31,0,0,3,0,0,2,0,0,6,0,0,7,0,0,4,0,0,24,322,322,179,13,10,-1,32,-2,8,0,31,0,3,0,2,0,6,0,7,0,4,0,24,0,10
PRRG2,5,3,192,1,0,11,2,0,34,0,1,8,5,0,31,0,0,3,1,0,2,0,0,6,0,0,7,0,0,4,0,0,24,322,322,184,2,10,1,32,2,7,-1,26,5,3,0,1,1,6,0,7,0,4,0,24,0,10
KREMEN2,6,1,192,2,0,11,1,0,34,0,0,8,0,0,31,0,0,3,0,0,2,0,0,6,0,0,7,0,0,4,2,0,24,322,322,185,5,9,2,33,1,8,0,31,0,3,0,2,0,6,0,7,0,4,0,22,2,10
FOXM1,10,1,192,1,0,11,0,0,34,0,0,8,0,1,31,0,0,3,1,0,2,0,0,6,0,0,7,0,0,4,0,0,24,322,322,181,9,10,1,34,0,8,0,30,-1,3,0,1,1,6,0,7,0,4,0,24,0,10
CCDC73,2,0,192,0,0,11,3,1,34,0,0,8,5,2,31,0,0,3,0,0,2,0,0,6,1,0,7,1,0,4,1,0,24,322,322,190,2,11,0,30,2,8,0,24,3,3,0,2,0,6,0,6,1,3,1,23,1,10
DUSP13,12,9,192,0,1,11,0,0,34,0,0,8,6,0,31,0,0,3,1,0,2,0,0,6,0,0,7,0,0,4,1,0,24,322,322,171,3,10,-1,34,0,8,0,25,6,3,0,1,1,6,0,7,0,4,0,23,1,10
RNASEK-C17orf49,29,17,192,2,0,11,3,2,34,0,0,8,1,2,31,0,1,3,0,1,2,0,2,6,0,0,7,0,0,4,0,0,24,322,322,146,12,9,2,29,1,8,0,28,-1,2,-1,1,-1,4,-2,7,0,4,0,24,0,10
GPAA1,9,2,192,2,0,11,0,0,34,0,0,8,1,0,31,0,0,3,0,0,2,0,0,6,0,0,7,0,0,4,0,0,24,322,322,181,7,9,2,34,0,8,0,30,1,3,0,2,0,6,0,7,0,4,0,24,0,10
PRRG4,7,1,192,0,0,11,1,0,34,0,0,8,0,0,31,1,0,3,1,0,2,0,0,6,0,0,7,0,0,4,1,0,24,322,322,184,6,11,0,33,1,8,0,31,0,2,1,1,1,6,0,7,0,4,0,23,1,10
ZNF799,9,5,192,0,0,11,1,0,34,0,0,8,3,0,31,0,0,3,1,0,2,0,0,6,0,0,7,0,0,4,2,1,24,322,322,178,4,11,0,33,1,8,0,28,3,3,0,1,1,6,0,7,0,4,0,21,1,10
MACF1,10,1,192,0,0,11,0,0,34,0,0,8,0,0,31,0,0,3,1,0,2,0,0,6,0,0,7,0,0,4,0,0,24,322,322,181,9,11,0,34,0,8,0,31,0,3,0,1,1,6,0,7,0,4,0,24,0,10
ATP6V1G2-DDX39B,19,20,192,0,0,11,1,0,34,1,1,8,6,3,31,0,1,3,1,0,2,1,0,6,0,0,7,3,0,4,3,0,24,322,322,153,-1,11,0,33,1,6,0,22,3,2,-1,1,1,5,1,7,0,1,3,21,3,10
PRRT1,8,2,192,0,1,11,3,2,34,0,0,8,4,0,31,0,0,3,1,0,2,0,0,6,0,1,7,0,0,4,0,0,24,322,322,182,6,10,-1,29,1,8,0,27,4,3,0,1,1,6,0,6,-1,4,0,24,0,10
APLP2,9,1,192,0,0,11,1,0,34,0,0,8,0,0,31,0,0,3,0,0,2,1,0,6,0,0,7,0,0,4,0,0,24,322,322,182,8,11,0,33,1,8,0,31,0,3,0,2,0,5,1,7,0,4,0,24,0,10
ARPC2,10,2,192,0,0,11,0,0,34,0,0,8,0,0,31,0,0,3,0,0,2,1,0,6,0,0,7,0,0,4,1,0,24,322,322,180,8,11,0,34,0,8,0,31,0,3,0,2,0,5,1,7,0,4,0,23,1,10
RNPS1,9,1,192,0,0,11,1,0,34,0,0,8,0,0,31,0,0,3,1,0,2,1,1,6,0,0,7,0,0,4,0,0,24,322,322,182,8,11,0,33,1,8,0,31,0,3,0,1,1,4,0,7,0,4,0,24,0,10
TAF7L,5,0,192,0,0,11,1,0,34,0,0,8,4,0,31,0,0,3,0,0,2,0,0,6,1,0,7,0,0,4,0,1,24,322,322,187,5,11,0,33,1,8,0,27,4,3,0,2,0,6,0,6,1,4,0,23,-1,10
PRRT4,5,1,192,0,0,11,1,0,34,0,0,8,3,0,31,1,0,3,0,0,2,0,0,6,0,1,7,0,0,4,3,1,24,322,322,186,4,11,0,33,1,8,0,28,3,2,1,2,0,6,0,6,-1,4,0,20,2,10
ROBO1,11,2,192,1,0,11,0,0,34,0,0,8,0,0,31,0,0,3,0,0,2,0,0,6,0,0,7,0,0,4,0,0,24,322,322,179,9,10,1,34,0,8,0,31,0,3,0,2,0,6,0,7,0,4,0,24,0,10
TPD52L2,9,3,192,0,0,11,0,0,34,0,0,8,2,0,31,0,0,3,1,0,2,0,0,6,0,0,7,0,0,4,2,1,24,322,322,180,6,11,0,34,0,8,0,29,2,3,0,1,1,6,0,7,0,4,0,21,1,10
PSMB1,10,1,192,0,0,11,1,0,34,0,0,8,0,0,31,0,0,3,0,0,2,0,0,6,0,0,7,0,0,4,0,0,24,322,322,181,9,11,0,33,1,8,0,31,0,3,0,2,0,6,0,7,0,4,0,24,0,10
TM7SF3,9,1,192,1,0,11,1,0,34,0,0,8,0,0,31,0,0,3,0,0,2,0,0,6,0,0,7,0,0,4,0,0,24,322,322,182,8,10,1,33,1,8,0,31,0,3,0,2,0,6,0,7,0,4,0,24,0,10
ZFHX4,10,0,192,0,0,11,0,0,34,0,0,8,0,0,31,0,0,3,0,0,2,0,0,6,0,0,7,0,0,4,0,0,24,322,322,182,10,11,0,34,0,8,0,31,0,3,0,2,0,6,0,7,0,4,0,24,0,10
KPNA1,5,0,192,2,0,11,0,0,34,0,0,8,3,0,31,0,0,3,0,0,2,0,0,6,0,0,7,0,0,4,0,0,24,322,322,187,5,9,2,34,0,8,0,28,3,3,0,2,0,6,0,7,0,4,0,24,0,10
SDCBP,9,0,192,1,0,11,0,0,34,0,0,8,0,0,31,0,0,3,0,0,2,0,0,6,0,0,7,0,0,4,0,0,24,322,322,183,9,10,1,34,0,8,0,31,0,3,0,2,0,6,0,7,0,4,0,24,0,10
ZNF724,9,3,192,1,1,11,0,0,34,0,0,8,0,0,31,0,0,3,1,0,2,1,0,6,0,0,7,0,0,4,2,0,24,322,322,180,6,9,0,34,0,8,0,31,0,3,0,1,1,5,1,7,0,4,0,22,2,10
PROX2,11,5,192,0,0,11,3,3,34,0,0,8,5,3,31,0,0,3,1,0,2,0,0,6,0,0,7,0,0,4,1,0,24,322,322,176,6,11,0,28,0,8,0,23,2,3,0,1,1,6,0,7,0,4,0,23,1,10
RNF213,9,0,192,0,0,11,0,0,34,0,0,8,0,0,31,0,0,3,1,0,2,0,0,6,0,0,7,0,0,4,0,0,24,322,322,183,9,11,0,34,0,8,0,31,0,3,0,1,1,6,0,7,0,4,0,24,0,10
ZIC2,11,2,192,1,0,11,0,0,34,0,0,8,1,1,31,0,0,3,1,0,2,0,1,6,0,0,7,0,0,4,0,0,24,322,322,179,9,10,1,34,0,8,0,29,0,3,0,1,1,5,-1,7,0,4,0,24,0,10
DCAF5,9,1,192,0,0,11,1,0,34,0,0,8,0,0,31,0,0,3,1,0,2,0,0,6,0,0,7,0,0,4,0,0,24,322,322,182,8,11,0,33,1,8,0,31,0,3,0,1,1,6,0,7,0,4,0,24,0,10
CCDC97,8,2,192,0,1,11,3,0,34,0,0,8,0,0,31,0,0,3,1,0,2,0,0,6,0,0,7,0,0,4,1,0,24,322,322,182,6,10,-1,31,3,8,0,31,0,3,0,1,1,6,0,7,0,4,0,23,1,10
SEC14L1,8,1,192,1,0,11,0,0,34,0,0,8,0,0,31,0,0,3,1,0,2,1,0,6,0,0,7,0,0,4,0,0,24,322,322,183,7,10,1,34,0,8,0,31,0,3,0,1,1,5,1,7,0,4,0,24,0,10
GPR162,9,2,192,0,3,11,5,1,34,0,0,8,1,1,31,0,0,3,0,0,2,0,0,6,1,0,7,0,0,4,1,0,24,322,322,181,7,8,-3,28,4,8,0,29,0,3,0,2,0,6,0,6,1,4,0,23,1,10
TMCC2,8,0,192,1,0,11,0,0,34,0,0,8,0,0,31,0,0,3,1,0,2,0,0,6,0,0,7,0,0,4,0,0,24,322,322,184,8,10,1,34,0,8,0,31,0,3,0,1,1,6,0,7,0,4,0,24,0,10
RPL18,11,1,192,1,0,11,0,0,34,0,0,8,0,0,31,0,0,3,0,0,2,0,1,6,0,0,7,0,0,4,0,0,24,322,322,180,10,10,1,34,0,8,0,31,0,3,0,2,0,5,-1,7,0,4,0,24,0,10
GPX1,15,6,192,0,0,11,0,0,34,0,0,8,0,0,31,0,0,3,0,0,2,1,0,6,0,0,7,0,0,4,0,0,24,322,322,171,9,11,0,34,0,8,0,31,0,3,0,2,0,5,1,7,0,4,0,24,0,10
ZNF707,8,3,192,0,0,11,3,0,34,0,0,8,3,1,31,0,0,3,0,0,2,0,0,6,0,0,7,0,0,4,0,0,24,322,322,181,5,11,0,31,3,8,0,27,2,3,0,2,0,6,0,7,0,4,0,24,0,10
LRRTM4,12,3,192,0,1,11,1,0,34,0,0,8,0,0,31,0,0,3,1,0,2,0,0,6,0,0,7,0,0,4,0,0,24,322,322,177,9,10,-1,33,1,8,0,31,0,3,0,1,1,6,0,7,0,4,0,24,0,10
RNF8,9,3,192,0,0,11,3,0,34,0,0,8,1,1,31,0,0,3,1,0,2,0,0,6,0,0,7,0,0,4,1,1,24,322,322,180,6,11,0,31,3,8,0,29,0,3,0,1,1,6,0,7,0,4,0,22,0,10
ZSCAN5B,9,3,192,0,0,11,0,0,34,1,0,8,2,0,31,0,0,3,0,0,2,0,0,6,1,0,7,0,0,4,1,1,24,322,322,180,6,11,0,34,0,7,1,29,2,3,0,2,0,6,0,6,1,4,0,22,0,10
