 GeneName,HN5_42.4℃(from 39.5±0.2°C):No_description.,HN5_39℃:60min.,HN5_42℃:30min.,HN5_38℃:120min/day_3days,HN5_42℃:60min.,HN5_43℃:45min.,HN5_42℃:45min.,HN5_42℃:135min.,HN5_38℃:720min.,HN5_35 ± 1°C:6d.,HN5_39℃:1440min.,HN5_42℃:20min.,HN5_43℃:25min.,HN5_45℃:60min.,HN5_39℃:180min.,HN5_43℃:30min.,HN5_36℃:120min./day_13days.,HN5_44℃:120min.,HN5_41.5 °C ± 0.2 °C:15min.,HN5_42℃:480min.,HN5_39.5℃:3d.,HN5_43℃:31min.,HN5_43℃:32min.,HN5_43℃:33min.,HN5_43℃:34min.,HN5_43℃:35min.,HN5_44℃_48℃:120min._480min.,HN5_42℃:25min.,HN5_42℃:40min.,HN5_42℃:12min.,HN5_42℃:2.5min.,HN5_45℃:15min.
Hspa8,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,0
Abhd3,2,0,0,0,4,-1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Lman1l,0,0,6,0,4,0,0,1,0,0,0,3,1,2,0,1,1,-1,0,-1,0,0,0,0,0,0,0,1,2,1,0,0
Iqcf1,0,0,4,0,5,0,1,2,0,0,0,-3,-1,2,0,0,-1,2,0,0,-1,0,0,2,0,1,0,1,3,3,1,0
Myocos,0,0,5,0,5,0,0,0,0,1,0,-4,0,3,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,2,0,0
Iqca1l,0,0,2,0,3,1,0,0,0,1,0,-4,0,4,0,2,0,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0
Card9,0,0,2,0,2,1,0,1,0,0,0,2,2,1,0,-2,-1,3,0,1,0,0,0,0,0,0,0,0,1,0,0,-1
Rrh,0,1,1,0,3,1,0,0,0,3,-1,-1,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,-1,0,0,0,0
H3c8,2,0,1,0,-5,0,0,0,0,-2,0,0,0,2,0,6,11,0,0,0,0,0,0,0,-1,1,-1,2,1,1,-2,0
Fgf18,2,0,4,0,3,0,1,2,0,0,0,0,0,1,0,-1,1,1,0,-1,0,0,0,0,0,0,0,0,0,1,-2,0
Gadd45b,5,0,1,0,3,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,-2,1
Bst2,2,0,1,0,5,0,0,0,0,0,0,1,1,0,0,0,0,-1,0,0,0,0,0,0,0,0,1,2,2,1,-2,0
Pde6g,0,1,0,0,4,1,0,2,1,0,0,0,0,0,0,2,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guca1b,0,0,0,0,2,0,0,2,0,-2,0,2,0,1,0,2,2,2,0,0,0,0,0,0,0,1,0,0,0,0,-1,0
Cxcr4,5,4,1,0,3,0,0,0,2,0,0,2,0,0,0,-7,3,0,0,0,0,0,0,0,1,0,0,0,0,0,-2,0
Pip5kl1,0,2,1,0,3,0,0,3,0,0,0,-4,0,2,0,-3,0,3,0,1,0,0,0,0,0,0,0,0,3,0,0,0
Nrn1l,0,0,3,0,1,-1,1,0,0,-1,1,1,-1,4,0,-2,2,0,0,0,0,0,0,0,0,0,0,1,2,0,-1,0
Tex29,0,0,2,0,1,0,-1,0,1,0,0,-4,0,1,0,0,2,0,1,0,0,0,0,0,1,0,0,0,1,4,1,0
Emilin1,1,0,0,0,-3,0,0,0,0,0,0,0,0,-1,0,-6,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,-2,0
Pigbos1,1,0,1,0,-4,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,0,0,0,-2,-3,0,-4,0
Tsku,-2,-2,1,0,0,0,0,0,0,0,0,0,0,0,0,-4,0,-1,0,0,0,0,0,0,0,0,0,-2,-2,0,-2,0
Pinlyp,0,-1,0,-2,1,0,0,0,0,0,0,-6,0,-1,1,-4,-2,0,-1,0,0,0,0,0,0,0,0,0,1,0,-1,0
Gemin4,-1,1,0,0,-3,-1,0,0,0,0,0,-2,0,-2,0,0,0,0,0,1,0,0,0,-2,0,-1,1,-2,-1,0,-2,0
Dnajc27,0,0,0,0,-1,0,0,0,0,0,0,-2,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,-2,-4,-1,-2,1
Immp2l,-1,-1,-4,0,1,0,0,1,0,0,0,-6,0,0,-1,0,0,1,0,1,1,0,0,-1,0,0,-1,-2,-2,0,-2,0
Plk1,1,0,1,0,-4,0,0,0,0,0,1,-8,0,0,0,-2,0,-1,0,0,0,0,0,0,0,0,0,-1,-2,0,-2,0
Pheta2,0,-2,0,0,-1,0,0,0,0,0,0,-3,0,1,0,-4,0,0,0,0,0,0,0,0,0,0,0,-2,-1,0,-2,0
Fbxo5,-1,0,1,0,-2,0,0,0,0,0,0,0,0,0,0,-6,0,-1,0,0,0,0,0,0,0,0,0,-2,-3,0,-2,0
Trmt5,-1,-1,1,0,-3,-1,-1,-1,0,0,0,0,0,0,0,-5,0,0,0,0,0,0,0,0,0,0,0,-2,-1,0,-2,-1
Mfsd2a,-7,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,2,-1,-1,0,-1,0,0,0,0,0,0,-1,-2,-1,0,-2,1
Haspin,-1,0,0,0,-3,0,0,0,0,0,0,-4,0,0,0,-3,0,0,0,0,0,0,0,0,0,0,0,-2,-1,-2,-2,0
Tigd5,0,0,0,0,-2,-1,0,0,0,0,0,0,0,0,0,-7,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,-2,0
Pym1,2,0,1,0,-3,0,0,0,0,0,0,0,0,0,0,-4,0,0,0,0,0,0,0,0,0,0,0,-3,-4,-2,-2,0
Igsf10,0,0,-1,0,-4,0,0,0,0,0,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,-4,-4,-2,-2,0
Prr22,0,0,2,0,-5,0,0,0,0,1,0,-7,0,-1,0,-3,0,0,0,-1,0,0,0,0,0,0,0,-1,0,0,-2,0
Mamstr,0,-1,-1,0,-2,0,0,0,0,0,1,0,1,-1,0,-5,-3,-1,0,0,0,0,0,0,0,0,0,-1,0,0,-2,1
Spag8,-2,-2,0,0,-7,0,0,0,0,0,1,-7,0,-1,0,0,0,0,1,1,0,0,0,0,0,0,0,-1,0,-1,-2,0
Evi2a,-7,-4,0,0,1,-2,-1,-1,0,0,0,1,1,1,0,-5,-1,-1,0,-1,0,0,0,1,0,1,0,0,0,0,-2,0
Pet117,4,0,-4,0,-5,0,1,0,0,-2,0,0,0,-3,0,0,-1,1,0,1,0,0,0,0,-2,-2,0,1,-1,0,-5,0
Tex38,-2,0,1,0,-1,0,0,1,0,-1,-1,-7,0,-2,-2,-5,-1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Gpr183,-4,0,0,0,-2,0,0,0,0,-1,0,0,0,0,0,-6,1,0,-1,0,0,0,0,0,0,0,0,-1,-2,-2,-1,0
Ccnf,0,0,0,0,-2,-1,0,0,0,0,1,0,0,0,0,-4,0,-3,0,0,0,0,0,0,0,0,0,-2,-3,0,-2,0
C1ql4,-1,0,-2,0,-7,-1,0,0,0,0,0,-3,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,-2,-3,-2,-2,0
Neil3,2,-4,0,0,-1,0,0,0,0,0,0,-8,-1,0,0,-1,0,0,-1,0,0,0,0,0,0,0,0,-3,-2,-1,-2,0
H2ac21,1,2,0,-1,-7,0,0,1,0,-2,0,-5,0,2,0,-4,3,-1,0,-1,0,0,0,0,1,0,0,0,0,-1,-2,0
Hilpda,2,0,0,0,-2,0,0,0,0,0,0,0,0,-1,0,-8,0,1,0,0,0,0,0,0,0,0,0,-2,-2,-1,0,0
Espl1,0,-3,0,0,-2,0,0,0,0,0,1,-7,0,0,0,0,-2,-1,0,0,0,0,0,0,0,0,-1,-2,-1,0,-2,0
Nanp,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-9,0,-2,0,0,0,0,0,0,0,0,0,-4,-4,-2,-1,0
Glce,-2,0,0,0,-3,0,0,-1,0,0,0,2,0,0,0,-2,0,-1,0,0,0,0,0,0,0,0,0,-4,-4,-3,-4,0
Ssmem1,-1,0,0,0,1,-3,-1,0,0,-1,1,-6,0,0,0,-5,0,-1,-1,-1,0,0,0,0,0,0,0,-2,-2,0,-4,0
Lfng,0,0,1,0,0,-1,0,0,0,0,0,1,1,0,0,-12,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,-2,0
Pif1,0,-4,0,0,-5,0,0,0,0,0,1,0,0,-2,0,0,0,-1,0,-1,0,0,0,0,0,0,0,-1,-1,-1,-2,0
Efna4,0,0,0,0,-3,0,0,0,0,0,0,0,0,0,0,-10,0,-2,-1,0,0,0,0,0,-1,0,0,-1,-2,-1,-2,0
Lipt2,2,0,1,0,-6,0,0,0,0,0,0,3,0,-1,0,-8,0,-1,0,0,0,0,0,0,0,0,0,-2,-2,-1,-2,0
Tmem89,0,-1,-2,0,-3,0,0,-1,0,0,0,-7,0,-1,0,-1,-2,-2,-1,-1,0,0,0,0,0,0,0,-3,-1,-3,-2,0
